X,Y,losS_mean,losS_var
-1403.984057425,-1179.9399258860537,-0.006131010573940152,1.4292820748492996e-05
-1391.935864653916,-1159.1238417971576,-0.005520438382001929,1.3398800283888553e-05
-1379.8876718828312,-1138.3077577082618,-0.004913075569438367,1.2607171044795647e-05
-1367.8394791117469,-1117.4916736193657,-0.004309632474037966,1.190528203406502e-05
-1355.7912863406627,-1096.675589530469,-0.003715943687728644,1.1284157646028324e-05
-1343.743093569578,-1075.8595054415732,-0.0031374016625555848,1.0735779038252796e-05
-1331.694900798494,-1055.0434213526771,-0.0025744374025927982,1.0250968399097376e-05
-1319.6467080274097,-1034.2273372637817,-0.0020308304661467713,9.823036097597903e-06
-1307.5985152563255,-1013.4112531748851,-0.0015134175322298014,9.447853925233414e-06
-1295.550322485241,-992.5951690859896,-0.0010233387408560297,9.119498628924028e-06
-1283.5021297141568,-971.7790849970932,-0.0005587906349136702,8.831073186995917e-06
-1271.4539369430722,-950.9630009081972,-0.00012736981010657254,8.58153085363271e-06
-1259.4057441719879,-930.1469168193012,0.000272170420901963,8.365670712027139e-06
-1247.3575514009035,-909.3308327304056,0.0006380831440555446,8.180491107623907e-06
-1235.3093586298191,-888.5147486415094,0.0009668263463959836,8.024879722280242e-06
-1223.261165858735,-867.6986645526134,0.001258643576030824,7.89587746070706e-06
-1211.2129730876509,-846.8825804637172,0.001515618377891879,7.789056192935578e-06
-1199.1647803165658,-826.066496374821,0.0017344008698304929,7.705089810682493e-06
-1187.1165875454822,-805.2504122859252,0.0019169278134834053,7.640431336084827e-06
-1175.0683947743976,-784.4343281970296,0.002063152726650099,7.593743247492877e-06
-1163.0202020033132,-763.6182441081331,0.002173580597608007,7.563739904997884e-06
-1150.9720092322289,-742.8021600192371,0.0022500012630153774,7.547576400335367e-06
-1138.9238164611445,-721.9860759303414,0.0022936284719057396,7.543433427074369e-06
-1126.87562369006,-701.1699918414449,0.0023056792129622456,7.551270512716489e-06
-1114.8274309189758,-680.3539077525493,0.0022884890349865595,7.568755037365772e-06
-1102.7792381478916,-659.5378236636533,0.002244315431963895,7.592473949209071e-06
-1090.731045376807,-638.7217395747568,0.0021753447004877096,7.621829251159243e-06
-1078.6828526057232,-617.9056554858611,0.0020841315786175266,7.655173818231425e-06
-1066.6346598346386,-597.0895713969653,0.0019733869115618613,7.690901445133683e-06
-1054.586467063554,-576.273487308069,0.0018459620192265627,7.727454518240521e-06
-1042.53827429247,-555.457403219173,0.0017053586393268047,7.764629467148777e-06
-1030.4900815213855,-534.641319130277,0.00155359910231221,7.798695614917783e-06
-1018.441888750301,-513.8252350413808,0.0013942194837233204,7.829688520402917e-06
-1006.3936959792168,-493.009150952485,0.0012303377031344168,7.856541969927271e-06
-994.3455032081324,-472.19306686358897,0.0010654451683318345,7.879003547807793e-06
-982.2973104370482,-451.3769827746929,0.0009018140657884761,7.895139586524754e-06
-970.2491176659638,-430.560898685797,0.0007428174102805402,7.905030640069142e-06
-958.2009248948797,-409.7448145969009,0.000591323667892836,7.908321377041278e-06
-946.1527321237952,-388.9287305080049,0.0004502017626083609,7.904837218816463e-06
-934.1045393527107,-368.1126464191089,0.000323182744998058,7.89579395334854e-06
-922.0563465816264,-347.2965623302129,0.00021059789101788087,7.878875839487354e-06
-910.008153810542,-326.48047824131686,0.00011577369720781189,7.855624894200445e-06
-897.9599610394578,-305.6643941524208,4.084350581152682e-05,7.826459286673898e-06
-885.9117682683736,-284.84831006352476,-1.1710777982443937e-05,7.792509682281207e-06
-873.863575497289,-264.0322259746288,-4.141755063334987e-05,7.753206483469625e-06
-861.8153827262047,-243.21614188573278,-4.627802397136685e-05,7.70986352047046e-06
-849.7671899551204,-222.4000577968368,-2.5237348918599745e-05,7.663181417520667e-06
-837.7189971840361,-201.5839737079408,2.265431421081404e-05,7.613945653887307e-06
-825.6708044129517,-180.7678896190448,9.925317574478038e-05,7.564069092183761e-06
-813.6226116418675,-159.9518055301487,0.000202350760053132,7.511976702886245e-06
-801.5744188707832,-139.13572144125268,0.0003333214128074802,7.4595801732280015e-06
-789.5262260996988,-118.31963735235689,0.000491840627456587,7.4074984881781855e-06
-777.4780333286144,-97.5035532634607,0.0006775175825089672,7.356323678184008e-06
-765.42984055753,-76.68746917456471,0.000889597656290101,7.306569075221367e-06
-753.3816477864458,-55.8713850856686,0.0011282947753478503,7.259736745354308e-06
-741.3334550153614,-35.0553009967726,0.0013897300946463104,7.214030109881061e-06
-729.2852622442772,-14.2392169078766,0.0016738529437097041,7.1707808437331046e-06
-717.2370694731927,6.5768671810193,0.0019788609557342338,7.130154857429118e-06
-705.1888767021084,27.3929512699153,0.002303393785189199,7.092701261155987e-06
-693.140683931024,48.2090353588113,0.0026442730442643864,7.057499601646969e-06
-681.0924911599398,69.0251194477074,0.0029998049372388785,7.024972405979861e-06
-669.0442983888554,89.8412035366034,0.0033676076366990285,6.995015032308975e-06
-656.996105617771,110.6572876254994,0.0037451837471203925,6.967484240492336e-06
-644.9479128466867,131.4733717143954,0.004131067894624758,6.943087620495228e-06
-632.8997200756023,152.2894558032914,0.004520355332065011,6.919867866393957e-06
-620.851527304518,173.1055398921875,0.004911329943498598,6.898531003216384e-06
-608.8033345334337,193.9216239810834,0.005301544376564528,6.878903703861402e-06
-596.7551417623494,214.7377080699795,0.005688605271319862,6.861231336921483e-06
-584.706948991265,235.5537921588755,0.006068760533302769,6.84459556713611e-06
-572.6587562201809,256.3698762477714,0.00644004666340256,6.829289472542418e-06
-560.6105634490963,277.1859603366676,0.00679981150837157,6.81531733229571e-06
-548.5623706780119,298.0020444255636,0.007145518040991096,6.802669562123737e-06
-536.5141779069277,318.8181285144595,0.0074756575625312405,6.791809899905045e-06
-524.4659851358433,339.6342126033556,0.0077873572156074156,6.7824790966139865e-06
-512.417792364759,360.4502966922517,0.008077572093826348,6.774498974280939e-06
-500.36959959367465,381.26638078114763,0.008346189317166214,6.7688735057912664e-06
