X,Y,losA_mean,losA_var
-1403.984057425,-1179.9399258860537,0.0016401332684336384,1.7061311202896946e-05
-1391.935864653916,-1159.1238417971576,0.0019095956018005955,1.6043013896300576e-05
-1379.8876718828312,-1138.3077577082618,0.002179642088600234,1.5135241931093418e-05
-1367.8394791117469,-1117.4916736193657,0.00244606274900799,1.4326616356606983e-05
-1355.7912863406627,-1096.675589530469,0.002704835277322872,1.3606889990368462e-05
-1343.743093569578,-1075.8595054415732,0.0029521473775910786,1.2966881077802638e-05
-1331.694900798494,-1055.0434213526771,0.0031844177032700934,1.2398410403222994e-05
-1319.6467080274097,-1034.2273372637817,0.003398315231240366,1.1894223326458973e-05
-1307.5985152563255,-1013.4112531748851,0.003590776910739408,1.1447904904957736e-05
-1295.550322485241,-992.5951690859896,0.0037590234395529845,1.1053805487414884e-05
-1283.5021297141568,-971.7790849970932,0.0039005730336433373,1.0706949228651812e-05
-1271.4539369430722,-950.9630009081972,0.004013253070485497,1.0402953251975493e-05
-1259.4057441719879,-930.1469168193012,0.004095209503175245,1.0137950221558666e-05
-1247.3575514009035,-909.3308327304056,0.004144913959084666,9.908500556681945e-06
-1235.3093586298191,-888.5147486415094,0.004161168455234714,9.711529948497212e-06
-1223.261165858735,-867.6986645526134,0.0041431076817221475,9.544258296709756e-06
-1211.2129730876509,-846.8825804637172,0.004090198824085225,9.404136881745706e-06
-1199.1647803165658,-826.066496374821,0.0040022389160842,9.28879914653829e-06
-1187.1165875454822,-805.2504122859252,0.003879349734637073,9.196013385094048e-06
-1175.0683947743976,-784.4343281970296,0.0037219702698077675,9.123650716860402e-06
-1163.0202020033132,-763.6182441081331,0.003530846823076372,9.06964813161246e-06
-1150.9720092322289,-742.8021600192371,0.003307020807839842,9.031996227116545e-06
-1138.9238164611445,-721.9860759303414,0.0030518143460940787,9.008717336493856e-06
-1126.87562369006,-701.1699918414449,0.0027668137744474106,8.997864377954052e-06
-1114.8274309189758,-680.3539077525493,0.002453851191490084,8.997520774212269e-06
-1102.7792381478916,-659.5378236636533,0.0021149841956684635,9.005802173880787e-06
-1090.731045376807,-638.7217395747568,0.0017524739795583342,9.020868364810612e-06
-1078.6828526057232,-617.9056554858611,0.0013687619611929486,9.040935256465277e-06
-1066.6346598346386,-597.0895713969653,0.000966445146487133,9.064292392238483e-06
-1054.586467063554,-576.273487308069,0.0005482504289385263,9.089317922583281e-06
-1042.53827429247,-555.457403219173,0.00011700804216094665,9.114495626164094e-06
-1030.4900815213855,-534.641319130277,-0.00032437561027605366,9.138437171423356e-06
-1018.441888750301,-513.8252350413808,-0.0007729455178762147,9.159893453096957e-06
-1006.3936959792168,-493.009150952485,-0.0012257257850269883,9.17776917425897e-06
-994.3455032081324,-472.19306686358897,-0.0016797472753676459,9.191139162215645e-06
-982.2973104370482,-451.3769827746929,-0.0021320749431523976,9.199250088716681e-06
-970.2491176659638,-430.560898685797,-0.002579834618414767,9.20153007615106e-06
-958.2009248948797,-409.7448145969009,-0.003020239017278537,9.19758873560544e-06
-946.1527321237952,-388.9287305080049,-0.0034506127556223534,9.187212217834255e-06
-934.1045393527107,-368.1126464191089,-0.0038684161532046377,9.170358416416306e-06
-922.0563465816264,-347.2965623302129,-0.0042712676262333,9.147151664641138e-06
-910.008153810542,-326.48047824131686,-0.0046569644791884385,9.11785941723697e-06
-897.9599610394578,-305.6643941524208,-0.005023501921335133,9.082884389495504e-06
-885.9117682683736,-284.84831006352476,-0.005369090149618044,9.042737613110743e-06
-873.863575497289,-264.0322259746288,-0.005692169357546333,8.998028836064605e-06
-861.8153827262047,-243.21614188573278,-0.005991422548802212,8.949436330167301e-06
