-81.0972695667	36.4869045306
-81.0447566153	36.5173652349
-81.0442117544	36.4638327005
-81.1435769893	36.5173650967
-81.1435426503	36.463462335
-81.0846396776	36.5175389083
-81.0610624968	36.4909882876
-81.1335897236	36.490409168
-81.0795830667	36.4633791313
-81.1117134373	36.4640270039
-81.1134840352	36.5091308423
-81.0647508201	36.5090362318
-81.0839271201	36.5002259669
-81.0439196377	36.4808831042
-81.0632129032	36.4739644517
-81.0439334258	36.5006939828
-81.1173666009	36.4802339142
-81.0786531802	36.4833841701
-81.0953608883	36.4716600167
-81.1128687103	36.4944539278
-81.1327532674	36.5056993498
-81.1437605004	36.4783735
-81.1285453191	36.4701360295
-81.1260646358	36.5176489378
-81.0973631059	36.508113611
-81.1439559063	36.4984846426
-81.0577073803	36.4640228007
-81.0997711518	36.4974626787
-81.1051468417	36.5174673379
-81.071064165	36.4982043479
-81.1307267507	36.4803108623
-81.0818732205	36.4734746161
-81.0521207496	36.5091640373
-81.0772815071	36.5093166264
-81.0471584597	36.4909704946
-81.1073631857	36.4740301549
-81.1239724184	36.4984779314
-81.0503546667	36.4722291433
-81.0589145316	36.5005097817
-81.0709557808	36.5174656328
-81.0560548631	36.4823603446
-81.0585165383	36.5170922735
-81.0864555899	36.4904238307
-81.121815135	36.4887536581
-81.1085461747	36.4859775907
-81.0892881392	36.480316421
-81.1436869931	36.508288543
-81.1002084724	36.4634724558
-81.0677015458	36.4820856838
-81.0688415597	36.4651370659
-81.1435914188	36.4872313914
-81.1175064753	36.4710806097
-81.1158026441	36.5176510977
-81.1085491367	36.5018149963
-81.0896463047	36.4635805435
-81.1397738225	36.4709657814
-81.0759654521	36.4911635584
-81.1233975222	36.509314043
-81.0877044731	36.5098733288
-81.0994919526	36.4791246792
-81.0943752816	36.5168197023
-81.121875763	36.4640250633
-81.1353882327	36.5132038796
-81.1339592749	36.4637437788
-81.1339769696	36.4981971496
-81.0727055003	36.4723619316
-81.0925027877	36.5019576733
-81.1171881073	36.5028322953
-81.0436275932	36.5080104078
-81.051438984	36.4973627087
-81.1043789997	36.4918128646
-81.1235469026	36.4756943756
-81.1054238241	36.5107063565
-81.0922909607	36.4948696456
-81.0714459915	36.5045922394
-81.0685328213	36.4890321044
-81.1057188252	36.4679082997
-81.1368017124	36.4840599793
-81.1097953199	36.4798647377
-81.0882172441	36.469640035
-81.136443083	36.4764313827
-81.0762464196	36.4776416229
-81.0541065377	36.4889354636
-81.0574994585	36.4702116933
-81.0559653242	36.4760624035
-81.1400647883	36.4931935848
-81.1242977457	36.4831981614
-81.0514357905	36.5031975347
-81.0642760177	36.4961830096
-81.0439500512	36.4748539878
-81.0514028636	36.5149347407
-81.0782106893	36.4967627647
-81.0494777944	36.484580863
-81.0510391573	36.4665212416
-81.101809742	36.503667837
-81.1275172797	36.493296517
-81.0774922203	36.514941204
-81.1157247281	36.4860855224
-81.0827019977	36.5057052312
-81.1398158022	36.5029184815
-81.0652164634	36.5025532285
-81.0624938306	36.4855062423
-81.0710271261	36.5112605251
-81.0581021427	36.5115351843
-81.0592694051	36.5059923035
-81.1200145003	36.4941640351
-81.1245998811	36.5040346323
-81.0996796805	36.5133926281
-81.0850008521	36.4849329639
-81.0617056451	36.4795835176
-81.1285642021	36.5126469717
-81.0653411184	36.5146503559
-81.0689271777	36.4768512858
-81.0749523775	36.4673609952
-81.0900456443	36.4747717691
