X,Y,losS_mean,losS_var
3103.607834032657,1261.4532109901465,-0.003312913140922108,8.037971824416997e-06
-1863.661043708863,3943.8740894907237,0.009929854076069809,7.646631812517355e-06
-1303.4427492267369,4036.371361163157,0.000770506291610731,8.061443854443608e-06
-2535.9229970874153,1138.1235154269016,-0.030721447688368587,7.251739842248768e-06
862.7346561041513,459.8101898290544,0.028310816684012308,1.2257016921338083e-05
-4814.144061314728,305.6480703749982,-0.0015151405325941553,0.000102060773760984
-5000.883492808771,-1328.4703958379969,0.007352802569061186,0.00032767563948185683
4672.21905858261,3203.8959161112543,-0.02011958505933175,4.0425898395270686e-05
3402.390924423124,4221.365904508024,-0.002159502876668118,9.090843485913381e-06
1012.1262012993848,1292.2856348809576,0.00998139460052204,6.58735126252671e-05
2431.3458806541053,-280.1679835504151,0.020971325429975644,1.876728225421734e-05
4112.000764100483,5392.998012358852,-0.0030570674066292235,0.0003547255763538176
4746.914831180227,1138.1235154269016,-0.005813481018004656,5.675666571595721e-05
-2423.87933819099,4653.019838979382,0.007876113453023597,1.608389985347468e-05
-2647.9666559838406,-1266.8055480563744,-0.018763702800612597,2.1602189507999253e-05
788.0388835065341,2032.263808260427,0.03469900619916882,7.720643918469119e-06
2057.867017666021,1723.9395693523152,0.04217699425039152,5.419386970428674e-06
41.081157530366,1693.1071454615042,-0.014120663278576695,3.956322751899399e-05
-4067.18633533856,-126.00586409635889,-0.011245121586696818,1.609317155252848e-05
1422.9529505862777,3142.2310683296314,0.022246987383056728,6.978251884619355e-06
-1004.65965883627,3697.2146983642338,-0.0029308678629086696,8.908670815652904e-06
3439.7388107219326,3728.047122255045,-0.0023087950093770033,7.704242614025921e-06
-1676.921612214821,1785.6044171339372,-0.021790156650252197,9.474216208893827e-06
-3133.48917786835,-33.5085924239251,-0.017618968457575497,8.1344685060133e-06
-4216.577880533794,-64.34101631473641,-0.01012816180915026,1.8211078422839605e-05
-2199.7920203981394,3943.8740894907237,0.019683827688995605,7.287538042148085e-06
4971.002148973077,891.4641243004116,-0.0035756955764471854,0.00014420032318630515
4821.6106037778445,953.1289720820341,-0.004149771500148298,7.952770807218959e-05
675.9952246101093,3913.041665599912,0.011923687709930686,6.620305545648531e-06
-4627.404629820686,1076.458667645279,0.007973188389073325,2.886386522478231e-05
4560.175399686184,5115.50619734155,-0.0014635685821814057,0.0002211932571000701
4186.6965366981,4252.198328398836,0.007128675787768155,1.3699890274550473e-05
2655.433198446956,4159.701056726402,0.0007008826419065573,6.416761532173142e-06
-4515.360970924261,4529.690143416137,0.008273299672548026,8.951974194116148e-05
2842.172629940998,2833.906829421519,-0.016228447599505834,6.697239264066644e-06
-3170.837064167158,5238.835892904795,-4.977552273044243e-05,0.00023872367788102278
-2237.139906696948,4776.349534542627,-0.00044876159986935796,3.0480161409772578e-05
5456.524670857587,4992.1765017783055,-0.004276168605309882,0.0007874138288410441
-3096.1412915695414,-650.1570702401499,-0.005052534302821255,8.729558557504284e-06
-1340.7906355255454,2895.5716772031415,0.00032300306598581977,8.313194347737095e-06
2879.5205162398065,-372.6652552228488,0.02753014880567131,1.2083095316695372e-05
-1714.2694985136295,-989.3137330390734,-0.012148549591082223,1.0503051881739386e-05
5680.611988650437,3049.733796657198,0.0014420875151566143,0.0007756732864141511
4485.479627088567,2741.4095577490857,-0.02806241754648898,2.0729628947880245e-05
1460.300836885086,3851.3768178182895,0.015664829892252343,8.980631016444162e-06
4074.6528778016745,3388.8904594561213,-0.020835918213068592,8.582497689596986e-06
-2946.7497463743084,1723.9395693523152,-0.011310973759520674,8.404307708972353e-06
-780.5723410434193,4375.528023962081,0.0054329934861973815,9.157142425020414e-06
3140.9557203314657,3111.398644438821,-0.013589189296108414,7.756523728239625e-06
3477.086697020741,4252.198328398836,-0.0008982991101761178,9.274689818861354e-06
190.47270272559942,-835.1516135850172,0.010861416073231583,9.17528323198677e-06
1721.7360409767452,-434.33010300447125,0.013579767330361958,1.2566638303148457e-05
2543.389539550531,2402.252894950162,7.012923194518392e-05,5.244061372687706e-06
4074.6528778016745,4375.528023962081,0.007405566331910078,1.2975238393823557e-05
4821.6106037778445,3666.382274473423,-0.005069443642682152,7.81763750411427e-05
1759.0839272755538,2371.420471059351,0.029947573360623234,6.59604974119627e-06
1609.6923820803195,5886.316794611832,-0.0028161010602757337,0.00083344682111364
2281.954335458872,2587.247438295029,0.009219034972060301,6.887118378524332e-06
1833.7796998731699,1014.7938198636566,0.03515682733355121,8.0933783666522e-06
-2349.1835655933733,4283.030752289647,0.01980752214129327,7.2056113415058435e-06
601.2994520124921,5793.819522939397,0.0025319763497777016,0.0007376785474192001
-3469.6201545576255,5577.992555703719,-0.0008990115244575563,0.0005892817358534819
-3581.663813454051,2833.906829421519,-0.0042162949570888585,9.36265086291301e-06
5232.437353064737,922.2965481912228,-0.0039989631603915415,0.000329047590685074
3999.957105204059,2710.577133858274,-0.025555851373856756,8.141116384374449e-06
3701.1740148135905,1353.9504826625803,-0.007434494776969468,8.056746931074897e-06
2132.5627902636384,2093.9286560420496,0.032810402125329804,4.845826979006565e-06
-295.0498191589095,5608.82497959453,-0.004971536668653289,0.0005773599618564705
-2685.3145422826487,4776.349534542627,0.007075037812203569,2.9000454958215175e-05
601.2994520124921,4838.014382324249,0.011386304819114571,3.972190010484502e-05
-407.0934780553352,-2.6761685331139,0.00651386391873629,6.544834287153e-06
-1490.182180720779,1292.2856348809576,-0.02560465757712072,9.195884084897552e-06
2916.868402538614,3697.2146983642338,-0.0027232754698069987,6.397346647584035e-06
1572.3444957815118,-64.34101631473641,0.02171394835775289,1.2665938128608112e-05
-593.8329095493773,2124.7610799328613,0.014763611136350899,1.8883481636727363e-05
1460.300836885086,-927.6488852574508,0.008216750921290338,1.9845368043163997e-05
-5075.579265406387,-126.00586409635889,-0.0009522385138193805,0.00027473237090109166
-2760.010314880266,-588.4922224585274,-0.008800061831060427,7.694030304963803e-06
2020.5191313672124,3173.063492220443,0.015285620762740199,8.103094580534055e-06
3365.0430381243154,1199.788363208524,-0.007351896255332963,8.082182333983678e-06
713.3431109089179,2988.0689488755756,0.01362459342153134,6.976843331938437e-06
-2872.053973776691,-95.1734402055476,-0.017874340060530323,6.984239459048579e-06
-2535.9229970874153,3635.5498505826113,0.01160379377410987,9.979084512954513e-06
-1079.3554314338862,5053.841349559927,-0.0021361384100680794,0.00012198414820936479
5717.959874949245,4714.684686761004,-0.008031366794967236,0.0009533727339355624
5232.437353064737,5824.6519468302085,0.0005187138437349054,0.0011331570203326916
5419.176784558778,2710.577133858274,0.0008043992719311555,0.0005101733580609128
