-81.1096640482	36.4653657932	0.00164013326843	1.70613112029e-05
-81.1095296657	36.4655533978	0.0019095956018	1.60430138963e-05
-81.1093952825	36.4657410021	0.0021796420886	1.51352419311e-05
-81.1092608987	36.4659286063	0.00244606274901	1.43266163566e-05
-81.1091265142	36.4661162104	0.00270483527732	1.36068899904e-05
-81.1089921291	36.4663038142	0.00295214737759	1.29668810778e-05
-81.1088577433	36.466491418	0.00318441770327	1.23984104032e-05
-81.1087233569	36.4666790216	0.00339831523124	1.18942233265e-05
-81.1085889698	36.466866625	0.00359077691074	1.1447904905e-05
-81.1084545821	36.4670542282	0.00375902343955	1.10538054874e-05
-81.1083201937	36.4672418313	0.00390057303364	1.07069492287e-05
-81.1081858047	36.4674294343	0.00401325307049	1.0402953252e-05
-81.108051415	36.4676170371	0.00409520950318	1.01379502216e-05
-81.1079170247	36.4678046397	0.00414491395908	9.90850055668e-06
-81.1077826338	36.4679922422	0.00416116845523	9.7115299485e-06
-81.1076482422	36.4681798445	0.00414310768172	9.54425829671e-06
-81.1075138499	36.4683674466	0.00409019882409	9.40413688175e-06
-81.107379457	36.4685550486	0.00400223891608	9.28879914654e-06
-81.1072450635	36.4687426505	0.00387934973464	9.19601338509e-06
-81.1071106693	36.4689302522	0.00372197026981	9.12365071686e-06
-81.1069762745	36.4691178537	0.00353084682308	9.06964813161e-06
-81.106841879	36.4693054551	0.00330702080784	9.03199622712e-06
-81.1067074828	36.4694930563	0.00305181434609	9.00871733649e-06
-81.1065730861	36.4696806573	0.00276681377445	8.99786437795e-06
-81.1064386886	36.4698682583	0.00245385119149	8.99752077421e-06
-81.1063042905	36.470055859	0.00211498419567	9.00580217388e-06
-81.1061698918	36.4702434596	0.00175247397956	9.02086836481e-06
-81.1060354924	36.47043106	0.00136876196119	9.04093525647e-06
-81.1059010924	36.4706186603	0.000966445146487	9.06429239224e-06
-81.1057666918	36.4708062604	0.000548250428939	9.08931792258e-06
-81.1056322904	36.4709938604	0.000117008042161	9.11449562616e-06
-81.1054978885	36.4711814602	-0.000324375610276	9.13843717142e-06
