X,Y,ux_mean,uy_mean,uz_mean,ux_var,uy_var,uz_var
-1403.984057425,-1179.9399258860537,-0.048067440126562666,0.044678408962367744,-0.038831700870771535,1.4782920787673182e-05,0.00013751379781259954,1.1590137071081173e-05
-1391.935864653916,-1159.1238417971576,-0.04600502225548825,0.042639319066952064,-0.03674193520076374,1.408314686968809e-05,0.00012773188455760323,1.0753443274206685e-05
-1379.8876718828312,-1138.3077577082618,-0.04395434381290042,0.040593725555776894,-0.034663903735819124,1.3438994044177865e-05,0.0001192567129714682,1.0022285566128409e-05
-1367.8394791117469,-1117.4916736193657,-0.04191520089496509,0.03854481372552998,-0.032602414553622616,1.2846903542799992e-05,0.00011194405604501162,9.383893665118864e-06
-1355.7912863406627,-1096.675589530469,-0.039887380299794606,0.03649583298206027,-0.030562013831417156,1.2303476950345504e-05,0.00010566263999856745,8.82698369543823e-06
-1343.743093569578,-1075.8595054415732,-0.03787065966858838,0.034450090456745186,-0.028546957908017145,1.1805462789851728e-05,0.00010029362445929113,8.341670065378e-06
-1331.694900798494,-1055.0434213526771,-0.0358648076319783,0.0324109439543363,-0.026561187258286656,1.1349763633317078e-05,9.572999041379884e-05,7.919365129115856e-06
-1319.6467080274097,-1034.2273372637817,-0.033869583961586014,0.030381794225806114,-0.024608302601258014,1.0933428310849758e-05,9.187585568214487e-05,7.552669392527599e-06
-1307.5985152563255,-1013.4112531748851,-0.03188473972672545,0.028366076564947384,-0.022691543348920318,1.0553640235250183e-05,8.86457309500488e-05,7.2352550538425965e-06
-1295.550322485241,-992.5951690859896,-0.029910017455969218,0.02636725173303678,-0.020813768586438297,1.0207728860879561e-05,8.596373256433351e-05,6.9617456226421775e-06
-1283.5021297141568,-971.7790849970932,-0.027945151303907734,0.024388796221684883,-0.018977440756362984,9.893153311284208e-06,8.37627691427957e-05,6.727594304983906e-06
-1271.4539369430722,-950.9630009081972,-0.025989867222495744,0.02243419187003759,-0.017184612199323268,9.607503478829826e-06,8.198371379719918e-05,6.528963667484788e-06
-1259.4057441719879,-930.1469168193012,-0.024043883137349176,0.020506914858676284,-0.015436914681962788,9.348503237090189e-06,8.057457910286281e-05,6.362608939854261e-06
-1247.3575514009035,-909.3308327304056,-0.022106909128686625,0.01861042410894287,-0.013735552019625563,9.113989452524951e-06,7.948970549382858e-05,6.2257670734755955e-06
-1235.3093586298191,-888.5147486415094,-0.02017864761682131,0.016748149122754796,-0.012081295876723575,8.901926487940581e-06,7.868897772423528e-05,6.116053416589965e-06
-1223.261165858735,-867.6986645526134,-0.01825879355223159,0.014923477304447208,-0.01047448480203711,8.71039559996456e-06,7.813707658794675e-05,6.031367573137167e-06
-1211.2129730876509,-846.8825804637172,-0.016347034609933475,0.013139740812486145,-0.008915026529627446,8.537586869139524e-06,7.780277824328413e-05,5.9698097052717815e-06
-1199.1647803165658,-826.066496374821,-0.014443051388270511,0.011400202995229591,-0.007402403548796677,8.381801900290975e-06,7.765830775071855e-05,5.9296082055714135e-06
-1187.1165875454822,-805.2504122859252,-0.012546517611779051,0.009708044470934096,-0.005935681918917746,8.24144625620471e-06,7.767875133598764e-05,5.909059342451648e-06
-1175.0683947743976,-784.4343281970296,-0.010657100338281045,0.008066348918128519,-0.004513523277138554,8.115034447676861e-06,7.784153407475874e-05,5.906479137139219e-06
-1163.0202020033132,-763.6182441081331,-0.008774460169878706,0.006478088648033231,-0.003134199959310191,8.001172396202016e-06,7.812596445225944e-05,5.9201674264895265e-06
-1150.9720092322289,-742.8021600192371,-0.006898251467817973,0.004946110035915052,-0.0017956131271418263,7.898569142038292e-06,7.851284752984078e-05,5.948383747462387e-06
