X,Y,u,u_sigma,lx,ly,lz
-5.023705653231052,-1.2256959761415547,0.00558729860223233,0.0022441722622290926,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-5.023705653231052,-0.5679395238019933,-2.4141307774540108e-05,0.005143159880726955,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-5.023705653231052,0.08981692853756795,-0.0035338595709939213,0.002088127695315361,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-5.023705653231052,0.7475733808771292,-0.008709254822337462,0.0020383874336714312,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-5.023705653231052,1.405329833216691,-0.003441706446930799,0.0019333467580456678,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-5.023705653231052,2.063086285556252,-0.0009404768269806487,0.0008459008291237694,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-5.023705653231052,2.720842737895814,0.0010406627222346294,0.00327734869490843,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-5.023705653231052,3.3785991902353754,-0.0011073278180162103,0.0030804712398581784,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-5.023705653231052,4.026078198007131,7.875297396981883e-05,0.0003372606249561592,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-4.492535715240901,-1.2256959761415547,0.002755458185324106,0.003955842021058986,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-4.492535715240901,-0.5679395238019933,-0.008878299864541106,0.00013308397494233337,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-4.492535715240901,0.08981692853756795,-0.012767031097206269,0.0012886614598501534,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-4.492535715240901,0.7475733808771292,-0.010154518352766448,0.004182513719896863,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-4.492535715240901,1.405329833216691,-0.01241895812714272,0.0025117589059130445,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-4.492535715240901,2.063086285556252,-0.0064334174856769365,0.0018111805339903928,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-4.492535715240901,2.720842737895814,0.0027819632492508796,0.003749187288830796,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-4.492535715240901,3.3785991902353754,-0.0004832244017195017,0.002953429522129771,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
