X,Y,lxs,lys,lzs,lxa,lya,lza
-1.403984057425,-1.1799399258860535,-0.609069,-0.109805,0.785479,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.391935864653916,-1.1591238417971577,-0.609081,-0.109793,0.785471,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3798876718828312,-1.1383077577082616,-0.609087,-0.109817,0.785463,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.367839479111747,-1.1174916736193656,-0.6091,-0.109806,0.785455,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3557912863406627,-1.0966755895304692,-0.609113,-0.109794,0.785447,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.343743093569578,-1.0758595054415732,-0.609119,-0.109819,0.785438,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.331694900798494,-1.0550434213526771,-0.609133,-0.109807,0.785429,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3196467080274097,-1.0342273372637818,-0.609153,-0.109761,0.78542,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3075985152563254,-1.0134112531748853,-0.609161,-0.109785,0.785411,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.295550322485241,-0.9925951690859897,-0.609164,-0.109845,0.7854,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2835021297141567,-0.9717790849970932,-0.609185,-0.109799,0.78539,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2714539369430722,-0.9509630009081971,-0.609194,-0.109823,0.78538,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2594057441719881,-0.9301469168193012,-0.609209,-0.109812,0.785369,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2473575514009034,-0.9093308327304056,-0.609231,-0.109766,0.785359,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2353093586298192,-0.8885147486415094,-0.60924,-0.10979,0.785349,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2232611658587351,-0.8676986645526135,-0.609242,-0.109851,0.785339,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2112129730876509,-0.8468825804637172,-0.609263,-0.109804,0.785329,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1991647803165661,-0.826066496374821,-0.60927,-0.109828,0.78532,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1871165875454819,-0.8052504122859252,-0.609284,-0.109817,0.785311,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1750683947743976,-0.7844343281970295,-0.609299,-0.109806,0.785301,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1630202020033131,-0.7636182441081332,-0.609306,-0.10983,0.785292,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1509720092322289,-0.7428021600192372,-0.60932,-0.109819,0.785283,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1389238164611446,-0.7219860759303414,-0.60934,-0.109772,0.785273,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.12687562369006,-0.7011699918414449,-0.609348,-0.109797,0.785264,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1148274309189758,-0.6803539077525492,-0.609349,-0.109857,0.785255,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1027792381478916,-0.6595378236636533,-0.609364,-0.109846,0.785245,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.090731045376807,-0.6387217395747569,-0.609378,-0.109835,0.785235,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.078682852605723,-0.6179056554858611,-0.609393,-0.109824,0.785225,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.0666346598346386,-0.5970895713969653,-0.609409,-0.109813,0.785215,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.054586467063554,-0.5762734873080689,-0.609424,-0.109802,0.785204,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.04253827429247,-0.555457403219173,-0.609427,-0.109862,0.785194,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.0304900815213855,-0.534641319130277,-0.609442,-0.109851,0.785183,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.018441888750301,-0.5138252350413808,-0.609458,-0.10984,0.785173,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.0063936959792168,-0.49300915095248504,-0.609473,-0.109829,0.785163,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.9943455032081324,-0.472193066863589,-0.609482,-0.109854,0.785152,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.9822973104370482,-0.45137698277469296,-0.609497,-0.109843,0.785142,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.9702491176659638,-0.430560898685797,-0.609512,-0.109832,0.785132,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.9582009248948796,-0.40974481459690093,-0.609528,-0.109821,0.785121,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.9461527321237952,-0.3889287305080049,-0.609543,-0.10981,0.785111,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.9341045393527109,-0.3681126464191089,-0.609545,-0.10987,0.785101,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.9220563465816264,-0.3472965623302129,-0.609559,-0.109859,0.785091,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.910008153810542,-0.3264804782413169,-0.609574,-0.109848,0.785081,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.8979599610394577,-0.30566439415242086,-0.609589,-0.109837,0.785071,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.8859117682683736,-0.28484831006352485,-0.609598,-0.109861,0.785061,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.8738635754972891,-0.26403222597462883,-0.609613,-0.10985,0.785051,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.8618153827262047,-0.24321614188573282,-0.609628,-0.10984,0.785041,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.8497671899551205,-0.2224000577968368,-0.609644,-0.109829,0.78503,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.8377189971840361,-0.20158397370794082,-0.60966,-0.109818,0.785019,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
