X,Y,ux,uy,uz,sx,sy,sz,lxa,lya,lza,lxd,lyd,lzd
-23.8914682423,-15.1196579888,-0.007101,-0.007588,0.029774,0.0005189999999999984,0.0005419999999999985,0.002448999999999991,-0.521698,-0.101971,0.847014,0.638521,-0.119063,0.760339
2.28937435894,52.9259407652,-0.003129,9.8e-05,0.005586,0.0005809999999998989,0.0005559999999999957,0.0027839999999999918,-0.559435,-0.107673,0.821851,0.628578,-0.117449,0.768828
-1.30876590377,46.7016993828,-0.007875,-0.001548,-0.003603,0.0005939999999999961,0.0005529999999999956,0.002758999999999991,-0.555132,-0.107038,0.824846,0.630573,-0.11773,0.767149
-16.0162114154,61.5841100667,-0.002076,0.000106,0.004774,0.000525,0.0005239999999999957,0.0024299999999999955,-0.543576,-0.105216,0.832739,0.643359,-0.119259,0.756219
-50.953674391499995,12.9107362578,-0.0079189999999999,0.0056159999999999,0.032366,0.000511999999999999,0.0005069999999999997,0.002399999999999994,-0.499782,-0.098377,0.860546,0.662003,-0.121876,0.739526
1.50216691794,55.2294403494,0.001026,0.000177,-0.007301,0.0006809999999999958,0.0006999999999999997,0.0037809999999999957,-0.558895,-0.107542,0.822235,0.629293,-0.117515,0.768232
-45.960402745,56.6412375629,-0.00101,-0.005347,0.0037719999999999,0.000529,0.0005309999999999988,0.0025239999999999915,-0.513389,-0.100515,0.852249,0.664239,-0.121858,0.737521
-11.1635073378,-5.5773154624,-0.009143,-0.0114,0.015321,0.0005199999999999972,0.0005149999999999984,0.0024369999999999965,-0.535923,-0.104185,0.837814,0.630201,-0.117932,0.767424
-37.9338300606,6.570653209780001,-0.020411,0.003275,0.014369,0.0005219999999999989,0.000511999999999999,0.0024809999999999915,-0.511829,-0.100347,0.853207,0.651887,-0.120645,0.748657
-32.0651919616,-20.4866806863,-0.000132,-0.003384,0.026163,0.000560999999999999,0.0005269999999999957,0.0025739999999999912,-0.512488,-0.100506,0.852792,0.643852,-0.119795,0.755714
-14.0166129062,59.0347879877,-0.00345,-2.5e-05,0.004696,0.0005189999999999984,0.000516999999999998,0.0024189999999999954,-0.545009,-0.105448,0.831773,0.641517,-0.119052,0.757814
-19.7634961426,-38.4586045176,-0.000625,-0.000973,-0.000385,0.0006829999999999968,0.0006749999999999969,0.0036039999999999957,-0.521314,-0.101998,0.847247,0.632049,-0.118306,0.765844
11.6435351564,-2.69763871436,-0.014033,0.001699,-0.0010249999999999,0.0005329999999999957,0.000551999999999997,0.0024829999999999935,-0.558127,-0.107611,0.822748,0.612867,-0.115588,0.781686
-24.5593217954,-34.5536414173,-0.001815,-0.000453,0.002441,0.000513999999999997,0.000507999999999996,0.0024089999999998917,-0.517297,-0.101318,0.849787,0.63626,-0.118833,0.762268
0.0614770745806,15.537404557,-0.029787,-0.017668,-0.004366,0.0005829999999999966,0.0005969999999999984,0.002847,-0.550541,-0.106392,0.828001,0.624678,-0.117111,0.772051
1.6130821455600002,68.79645689760001,-0.0046879999999999,0.001319,0.018296,0.0005919999999999961,0.0006629999999999967,0.002983,-0.561771,-0.107964,0.820218,0.631551,-0.117768,0.766338
-38.4846417083,15.6643782982,-0.0010149999999999,0.003419,0.024229,0.0006619999999999993,0.0006429999999999984,0.0035769999999999977,-0.513016,-0.100539,0.852471,0.653508,-0.120775,0.747222
-37.2819880747,8.9611445879,-0.024573,0.001803,0.03643,0.0005159999999999957,0.0005129999999999977,0.002416999999999998,-0.512943,-0.100537,0.852515,0.651741,-0.120593,0.748793
-41.2456067601,2.7586200137800003,-0.010925,-0.000785,0.011151,0.0006479999999999995,0.0006319999999999965,0.0032359999999999924,-0.507727,-0.099679,0.855732,0.653757,-0.120868,0.746989
-32.2989018476,-0.0540004775403,-0.021295,-0.007935,0.037592,0.0005179999999999961,0.0005419999999999985,0.0024599999999999926,-0.516201,-0.101055,0.850485,0.646868,-0.120011,0.7531
-28.7815546053,-0.470879352545,-0.037344,-0.012503,0.00313,0.0005539999999999982,0.0005949999999998957,0.0030109999999999894,-0.519641,-0.101593,0.848323,0.644217,-0.119726,0.755414
14.1946755108,-21.1339979205,-0.005277,0.002538,0.005587,0.0006250000000000001,0.0006659999999999958,0.00331,-0.557345,-0.107554,0.823286,0.608129,-0.115006,0.785463
-4.29574198373,6.47911309869,-0.028654,-0.011543,-0.009223,0.0005219999999999989,0.000516999999999998,0.0024359999999999937,-0.544743,-0.105509,0.831939,0.626686,-0.117413,0.770376
7.46186496564,10.2235089193,-0.031073,-0.010818,-0.024692,0.000539,0.0005299999999999965,0.002554999999999995,-0.556482,-0.10734,0.823897,0.61808,-0.116235,0.777475
-18.8455204242,-11.2618632267,-0.011877,-0.019114,0.006049,0.0005869999999999983,0.0005629999999998982,0.002816,-0.527426,-0.102843,0.843354,0.63528,-0.118616,0.763119
2.08351680778,-10.0885017737,-0.0134659999999999,0.002621,0.007635,0.000529,0.0005179999999999961,0.0024449999999998947,-0.547726,-0.106007,0.829915,0.619214,-0.116457,0.776538
4.49276327134,66.72599851160001,-0.003432,-0.0025369999999999,0.003194,0.0005369999999999984,0.000539,0.002475,-0.563931,-0.108288,0.818691,0.628932,-0.117429,0.768541
13.2775719139,51.558444290699995,-0.004855,-0.005545,-0.005377,0.0006559999999999951,0.000736999999999997,0.004959999999999994,-0.569412,-0.109143,0.814775,0.620003,-0.116317,0.77593
16.2051760143,56.954920279,-0.000725,-0.003386,-0.020891,0.0006489999999999952,0.0006409999999999988,0.0031289999999999903,-0.572879,-0.109661,0.812271,0.618406,-0.116072,0.77724
9.53114679485,44.0799627882,-0.006882,-0.003755,0.0017649999999999,0.0006189999999999972,0.0006199999999999969,0.003200999999999995,-0.564449,-0.108444,0.818314,0.621585,-0.11653,0.77463
-13.354413198,-0.082680627207,-0.019,-0.0091,0.042943,0.0005479999999999976,0.000544,0.0025959999999999915,-0.534838,-0.10402,0.838527,0.632685,-0.118229,0.765331
-29.7954376865,-4.86545745962,-0.019371,-0.009081,0.019674,0.0006559999999999951,0.0005939999999999961,0.0029839999999999945,-0.517788,-0.101297,0.849491,0.644355,-0.119758,0.755292
-23.5524032154,-8.35381591522,-0.016785,-0.0184609999999999,0.001327,0.0007419999999999961,0.0006199999999999969,0.003745999999999997,-0.523332,-0.102214,0.845976,0.639232,-0.119128,0.759731
-28.5298121249,-13.8381076002,-0.006873,-0.002475,0.001714,0.0007209999999999999,0.000605999999999998,0.003261999999999995,-0.517314,-0.101276,0.849782,0.642159,-0.119511,0.757198
-46.5933414489,27.5818989779,-0.007245,0.003822,0.007667,0.0005129999999999977,0.0005089999999999975,0.0024010000000000004,-0.507131,-0.099542,0.856101,0.660878,-0.12162,0.740574
-31.768592807599997,46.6250472026,-0.00058,0.003481,0.008081,0.000516999999999998,0.0005159999999999957,0.002415999999999997,-0.525603,-0.102456,0.844538,0.652841,-0.120543,0.747842
-4.35075840718,63.53631284,-0.0022789999999999,-0.002665,0.00931,0.0005219999999999989,0.0005179999999999961,0.002424999999999998,-0.554893,-0.106943,0.82502,0.634899,-0.118202,0.763499
-6.745220320960001,53.492131871,-0.003931,-0.00118,-4.9000000000000005e-05,0.0005209999999999975,0.0005179999999999961,0.002423999999999992,-0.550899,-0.106353,0.827768,0.635313,-0.118305,0.763139
-9.47815566996,30.9784320166,0.002217,-0.005306,0.03984,0.0006429999999999984,0.0005679999999998965,0.002932999999999998,-0.544279,-0.105421,0.832254,0.634203,-0.118275,0.764067
-31.0080071346,-36.0147838838,0.000103,0.000874,0.017638,0.0005309999999999988,0.000513999999999997,0.0025089999999999926,-0.510536,-0.100205,0.853998,0.640896,-0.119451,0.758277
-26.760872433,-6.2554319347,-0.022971,-0.015558,0.020985,0.0005149999999999984,0.0005089999999999975,0.0024089999999998917,-0.520546,-0.101734,0.847751,0.641912,-0.119453,0.757417
-19.2135113542,6.05887252997,-0.03489,0.00921,0.104734,0.000525,0.0005159999999999957,0.002424999999999998,-0.53035,-0.103297,0.841462,0.638062,-0.118852,0.760757
11.3607775825,58.5451910761,-0.003404,-0.005623,0.016029,0.0006009999999999988,0.0005779999999999992,0.002927999999999997,-0.568948,-0.109058,0.81511,0.622601,-0.116644,0.773797
6.380280995310001,-25.735002629,-0.005381,-0.000357,0.012377,0.0005829999999999966,0.0005719999999998997,0.0029249999999999957,-0.548952,-0.106286,0.829069,0.613464,-0.115747,0.781194
10.9196909663,33.2718921926,-0.014595,-0.011179,0.0179089999999999,0.0006629999999999967,0.0005719999999998997,0.0032,-0.563832,-0.108361,0.81875,0.618882,-0.116251,0.776834
-3.71404424147,-4.42925914882,-0.013045,0.005457,-0.013829,0.0006179999999999997,0.0005979999999999966,0.0032779999999999945,-0.54324,-0.10536,0.83294,0.624581,-0.117188,0.772118
-27.089086308499997,-23.4310066406,-0.002191,-0.001315,-0.00991,0.0005269999999999957,0.0005329999999999957,0.002514999999999997,-0.516918,-0.101233,0.850028,0.639738,-0.119286,0.75928
-32.227268900300004,-0.131675134234,-0.025154,-0.004893,0.0271439999999999,0.0005209999999999975,0.0005189999999999984,0.002479999999999997,-0.516264,-0.101057,0.850446,0.646798,-0.120063,0.753151
-17.4303663335,-3.52264045623,-0.0262489999999999,-0.027331,0.074706,0.0005319999999999958,0.0005409999999999993,0.002596999999999997,-0.53025,-0.103302,0.841524,0.6353,-0.118598,0.763104
-1.91381661062,-48.293658449199995,0.00645,-0.002867,0.023122,0.0006179999999999997,0.000560999999999999,0.0029319999999999967,-0.536875,-0.104466,0.837169,0.61664,-0.116262,0.778613
11.5655190258,18.6759694811,-0.023275,-0.010109,0.000962,0.0006769999999999962,0.000673999999999998,0.003545999999999997,-0.561787,-0.108076,0.820192,0.616108,-0.115934,0.779083
-29.041657202800003,70.89627470100001,0.001529,-0.000345,0.016196,0.0005969999999999984,0.0005959999999999996,0.0029179999999999974,-0.53279,-0.103526,0.839891,0.654137,-0.120573,0.746704
-13.3928974796,-32.120144444400005,-0.005425,-0.002777,0.020917,0.000735999999999996,0.0006479999999999995,0.0036449999999999976,-0.528791,-0.103101,0.842467,0.628059,-0.117737,0.769208
-8.316858685749999,57.468872215800005,-0.005256,-0.002783,0.0214579999999999,0.000559999999999997,0.0005699999999999979,0.00287,-0.550117,-0.106225,0.828304,0.637044,-0.118494,0.761665
-25.6429291333,29.413818153100003,-0.009392,0.008364,0.008291,0.0005159999999999957,0.0005089999999999975,0.0024089999999998917,-0.528389,-0.102943,0.842738,0.64604,-0.119802,0.753843
-11.7200904117,69.15546821010001,-0.00092,-0.0005719999999999,-0.013177,0.0005199999999999972,0.0005179999999999961,0.0024219999999999966,-0.549012,-0.10606,0.829058,0.641234,-0.11897,0.758067
-26.2257498179,12.293360560700002,-0.023738,0.009287,0.0261409999999999,0.0005209999999999975,0.0005179999999999961,0.0024669999999999926,-0.524593,-0.102366,0.845176,0.644106,-0.119604,0.755528
-8.89247981436,0.257331953618,-0.018168,-0.005452,0.014601,0.0005269999999999957,0.0005129999999999977,0.002423999999999992,-0.53921,-0.104696,0.835638,0.629326,-0.117794,0.768163
-29.8596388823,-32.3515608754,0.0014219999999999,5e-06,0.0020139999999999,0.000513999999999997,0.000507999999999996,0.0024089999999998917,-0.512415,-0.100487,0.852838,0.640549,-0.119437,0.758572
