X,Y,losD_mean,losD_var
52088.97379003435,22530.16428154008,0.0002867526297675926,4.692856471268347e-06
51917.41656148736,-23383.758876316297,0.006114052829742595,1.665372107032534e-05
35705.25846379619,-53916.055865595044,-0.014953154656799791,7.982538926404592e-06
-22924.42439213983,-44077.35804605439,-0.0012008191744709174,4.0667655902257524e-05
-24125.324991968802,-43661.63841987661,-0.0016369257716493703,2.101807905023117e-06
-27728.02679145573,-35162.4816180199,-0.010283739227215117,6.794208214539872e-06
-25755.118663165264,-33869.13166991127,-0.0018224570505846688,4.0552051908354934e-05
-28371.366398506965,-33499.603113308796,0.003910379350093143,5.355059985739502e-06
-24425.550141926047,-35855.34766164952,0.01741548459920622,1.2797305391880795e-05
-4267.575787653972,63363.06978611256,0.0010044240193332879,1.0358076869743465e-05
-29186.2632341052,-36640.59584442976,-0.011484551310976296,6.692912102323735e-06
-29186.2632341052,58374.43427197927,0.004903085317770187,2.236915960776254e-06
-40294.59378252321,44517.11339938679,-0.00716338991988587,7.224023420747106e-06
-35405.21276893382,55233.44154085831,0.0005318032167147,1.905538104565453e-05
-9542.960565474114,-17979.40373600523,-0.006732422269434397,7.014185800264607e-06
-27685.13748431898,-24908.06417230147,-0.00022011860845341704,3.4772436264116428e-06
-29615.15630547269,-32067.679956474243,0.002940997382391796,6.454791593760675e-06
-50545.13818820625,25763.53915181166,0.005179306249466631,4.9024365601427317e-05
-13102.773057824283,60222.0770549916,-0.0055672575374778556,5.0365891569877355e-06
-28886.038084147953,-35393.436965896435,-0.0013580341028853827,1.396763119415523e-05
-40380.37239679671,5855.188164853812,0.005986080952311776,3.100812103018568e-05
-7998.945508551144,54910.10405383114,0.016805350002435958,3.937562686416169e-05
52217.6417114446,-5461.623881096704,-0.0038714921090567157,1.02278813894212e-05
-39865.700711155725,44009.011634058406,-0.006849577126847322,7.777972752491174e-05
-20050.840813977637,62115.91090757923,-0.010529351755771537,4.305954541771542e-05
-18678.382985601667,-46202.14724651856,-0.0089920622718323,3.042038754247559e-06
-19579.058435473402,-47911.21682080498,-0.006223466819991913,6.584539649451297e-06
-23224.649542097075,-41352.0849411112,-0.006223678668246452,8.214925625419243e-06
-33904.0870191476,58189.66999367803,-0.006808540769776834,5.4018261073171596e-05
-4138.907866243724,-51976.03094343209,0.004999200475419909,5.8777649578343805e-06
-25240.44697752428,-45093.56157671116,0.0008333296794048083,2.593715758173783e-05
-23524.874692054316,62716.39481205825,-0.003534630511284175,6.8595582712122346e-06
-29743.824226882934,-30497.183590913763,-0.008445658663304573,8.873029750264309e-06
-26312.679655943008,-26109.031981259483,-0.0021031904177076324,1.271941040876237e-05
-11858.983150858563,-31605.76926072116,-0.006530836658007208,0.00010296924714654776
-25240.44697752428,-41490.658149837116,0.0005131583548143252,1.1176612109572773e-05
-36348.7775259423,4284.69179929333,0.009028303540304464,5.754885050956303e-06
-13317.219593508033,-49897.43281254322,-0.007670832157635802,1.2502255984955479e-05
-18506.82575705467,61192.089516073065,-0.001553093448108193,1.1658123400828405e-05
-35962.77376171156,8534.27020022169,0.0007546802168911263,2.344865849419138e-05
-27599.358870045482,29735.971135288164,-0.00882549396525854,7.365116680150984e-06
-13617.444743465276,62716.39481205825,0.0017401067027847522,2.7709393832315252e-05
-41152.379925258196,3638.016825239014,-0.013950564307211415,7.99576269166393e-06
-8170.502737098142,-40243.49927130381,0.00412032984501152,1.2161985835223997e-05
-31287.839283805904,-33130.074556706335,0.01590986849911244,2.8877684711107726e-05
-27299.133720088244,-27079.04444234096,-0.0009371272329581006,6.825863381342464e-06
-10786.750472439831,-4722.566767891774,0.008659038267155167,6.645070647821496e-06
-20351.065963934878,-42183.52419346674,0.0032075404984570535,2.1610160762377428e-05
-36348.7775259423,4146.1185905674065,0.003104596585089212,8.876088177985961e-06
-26956.019262994247,42854.234894675705,-0.01705604943279188,4.0526354074103016e-05
29400.53031469408,-149.6508799362564,0.015716608656318333,6.582259638370782e-05
-35233.655540386826,-22506.128554385443,0.013038266928471688,3.9271825968695157e-05
-25369.11489893453,-34469.61557439028,0.005244800601052945,2.0547633284541972e-05
-24082.435684832053,-45370.707994163015,0.008467344210642476,1.752975185770689e-05
-26312.679655943008,-39042.53146234579,0.018158481784739985,1.108915547566025e-05
-30816.056905301666,-16362.716300869448,0.014684131175322811,3.391875764134392e-05
-27470.69094863523,-23152.803528439756,-0.0057780635192132305,6.052752756297984e-06
-28328.477091370216,41468.50280741645,0.04398611720388391,2.6168651578777638e-05
-7355.605901499905,59390.63780263604,0.06869642823551053,5.6645517707820106e-06
-26141.12242739601,-26478.560537861948,0.004948319345926206,5.533357609638148e-06
-31630.9537408999,-6524.018481328792,-0.004435926063853603,9.312120014605743e-05
-24425.550141926047,-43061.1545153976,-0.00987452520039092,6.097599133518669e-05
-41795.719532309435,24377.807064552406,-0.0023252796714227785,1.4521044945885882e-05
-29400.709769788944,-15900.805605116366,-0.0009419624812754563,1.5958600723695745e-05
-10572.303936756085,-30681.947869215,-0.010745574266241143,1.3393306516370593e-05
24682.706529651674,-12713.621804420096,0.0032679624206118783,1.478362289550383e-05
-23481.98538491757,-30820.52107794092,-0.010133110119685394,8.309727881623179e-06
-26655.794113037005,-33268.647765432266,0.014770254948856122,2.3073844644570114e-05
25969.385743754152,-37610.60830551123,-0.0005697521156644188,2.8191230837346594e-06
-33132.07949068611,-36086.30300952606,-0.005034967898032738,1.2180450865514064e-05
-23610.65330632781,-34977.71733971866,0.007901143531397904,1.1188336875981051e-05
-21766.4130994476,64102.12689931748,-0.013663347417947244,6.75971025989057e-05
-31416.507205216152,-16270.334161718829,0.0006688878541443906,5.345816946998667e-05
-38235.90703995926,1651.8008335007617,0.010039937107235289,2.8027631735591642e-05
-38107.23911854901,12368.128974972271,-0.0016349944670646108,3.806636837093612e-06
-28371.366398506965,-25970.458772533562,0.00036927124629589775,6.345809587007356e-05
-24639.99667760979,-21443.73395415335,0.008921614493411533,7.709175730785413e-06
-39136.582489830995,6178.525651880969,0.006675257606144571,5.61418266353598e-06
-29958.27076256668,-25277.592728903935,-0.011506081932485177,2.087143059441703e-05
-21594.8558709006,61746.38235097676,0.0027164226961357337,1.0695600048345252e-05
-30901.83551957516,50752.90779205341,-0.009844376182863839,3.365209856953321e-06
-29100.4846198317,-33545.79418288411,-0.0021439261256259385,1.600235570278488e-05
-33603.861869190354,-426.79729738811153,4.919885838407809e-05,7.145679641564062e-06
-24039.546377695304,-26617.133746587875,-0.0033463483875292403,2.5169330430707667e-05
-13445.887514918279,-49758.8596038173,-0.009584964123606345,8.703488981220953e-06
-24339.77152765255,-41028.74745408404,0.02359051149007265,1.7382754380241438e-05
-41624.16230376244,2621.8132945822363,-0.005006697367874863,9.46640189527046e-05
-38021.460504275514,5808.997095278501,-0.0067126208468066065,7.793182882368061e-06
-40080.14724683947,12275.74683582165,0.001709946864269926,4.872694974771718e-06
39779.74264178736,37218.9244064881,-0.014919115241984995,7.0416480685560305e-06
-39265.250411241235,28996.914022083227,-0.00655994754048685,7.322983653582146e-06
-41323.9371538052,10197.148704932784,-0.002841880260254808,3.8910049038926354e-05
-31116.282055258907,-35347.245896321125,0.06375766421178129,1.0746518223803102e-05
-15933.46732884972,58559.1985502805,0.0031104462395595747,1.1681656304581477e-05
-34204.31216910484,-18949.416197086706,7.344795703388034e-05,1.6595405607911163e-05
-36391.66683307904,4146.1185905674065,0.020498896134956587,2.2529588969012836e-05
-13746.112664875523,-33314.83883500757,-0.0016053471139605181,4.3411763607251556e-05
-3667.125487739482,-32298.63530435078,0.004809310425588198,8.518615719010456e-06
-16877.03208585821,-31975.297817323626,0.0009946180676328837,1.4447603218497675e-05
-29743.824226882934,37449.87975436464,-0.01085436897735775,6.638067062530803e-06
-36262.9989116688,-2228.2490108251295,0.025021680756878065,1.1305253147314962e-05
-24253.99291337905,-16362.716300869448,-0.009119594201328995,1.4431603692937899e-05
-34976.31969756633,5624.232816977266,-0.006627108276956717,6.799751045365218e-06
-29357.820462652195,-39365.86894937295,0.005350551494953103,5.183201513827659e-06
-38793.468032737,2945.1507816093945,0.0019279988453532217,8.345571542559103e-06
-15847.68871457623,-48003.59895995558,-0.002229117139496994,1.2753222561225693e-05
-29143.37392696845,-33591.98525245942,0.01127452312057031,3.2373308657004825e-05
-39694.14348260873,5347.0863995254185,-0.0015464629836326252,3.6045031395853934e-06
-40895.0440824377,5485.659608251342,0.013315760862726522,1.1934392742324595e-05
-14732.56672902075,46826.66687815221,-0.0015227599758910588,1.6150413075634305e-05
-26698.68342017375,-32483.39958265202,-0.007049968954678238,6.522786455178298e-06
-25540.67212748152,-27494.76406851873,0.06486880233747215,3.602293560164781e-05
-31673.843048036644,-34377.23343523966,-0.009711877197480227,5.699205310054975e-06
-16105.024557396717,-40382.072480029725,-0.009431842360735212,5.543341489363377e-05
-33046.30087641261,-21028.01432797558,0.011829433878238763,2.7832996021481013e-06
-41409.71576807869,-4630.184628741161,0.002988660729460014,4.1603082632738e-06
-25412.004206071273,-26570.942677012565,0.0017411523607559075,4.4848925010687975e-05
26183.8322794379,-35532.010174622366,0.008333239646160468,1.2018769765885605e-05
-44111.74211769388,26733.551612893127,0.009165407483478143,1.411216601675625e-05
-24682.885984746543,-45601.66334203955,0.001869406156315782,2.235630400600601e-05
-31502.28581948965,-3152.0704023312937,-0.0032718069611056867,4.663510368234105e-06
-15118.570493251491,64979.75722124835,-0.014882807953551,7.131540428974927e-05
-46427.76470307834,9411.900522152544,0.010762082777121356,5.055299077454429e-06
-33089.19018354936,-14284.118169980577,-0.007556511488255969,1.8248765666550977e-05
-2208.8890450900144,-35855.34766164952,0.0030522545457103215,5.058692416199823e-06
-23095.981620686827,62762.585881633546,-0.0023288822719870796,2.755812448793186e-05
-36005.663068848306,38650.847563322655,0.004674896476518646,2.1458834422233505e-05
-15976.35663598647,53201.03447954474,0.008022306047686547,3.115942073279511e-05
-23353.317463507323,-34053.8959482125,0.00531219073984961,4.8289044301754246e-06
-26355.56896307976,-16917.009135773143,-0.006939584185455181,9.814871215947163e-06
-26741.5727273105,-36779.169053155674,0.002045039675063116,4.9964017182119874e-05
-31030.50344098541,-16408.90737044476,0.020007816344043982,8.656435395890736e-05
-11387.20077235432,-20427.530423496577,0.0015408267375540217,1.1503662326674796e-05
-5211.1405446624485,-4168.273932988079,-0.0007446231361853137,6.6644606137804626e-06
23653.36315836969,-40982.55638450873,0.004367911772554698,1.7343708048749375e-05
-41409.71576807869,4746.6024950464125,-0.014100566913472026,2.4400863504750004e-05
-35576.76999748082,54817.72191468054,0.016473727054060007,2.1259837667168737e-05
-17434.593078635946,-38811.576114469244,-0.010187146848616708,7.022615854558702e-06
-27685.13748431898,41098.97425081398,0.0011717020815294305,7.342736533672638e-06
50630.73734738488,-16917.009135773143,-0.009756410199959306,1.7604710153487295e-05
-23095.981620686827,-47865.02575122966,0.014904291095788696,2.1067951869771267e-05
-18249.489914234175,61053.51630734715,-0.0009983969099142975,8.200701294331391e-06
-27470.69094863523,-40751.601036632186,0.06635466157716727,2.761970823254628e-05
-35576.76999748082,50152.4238875744,-0.005029967702821474,9.632986398039279e-06
-22667.088549319335,-44677.841950533395,-0.005488378347188014,6.336050062370719e-06
-28071.141248549717,47842.870408809,2.6187980461658258e-05,1.0038788238061273e-05
-30773.16759816491,-28326.20332087428,-0.01204795076152363,9.58219180898616e-05
-45870.2037103006,22437.78214238946,0.0009403008405652548,5.059189503330232e-06
-8556.506501328879,-36594.404774854454,0.024958192948279126,7.970516742971752e-05
51574.30210439336,64979.75722124835,0.009369910789099614,6.0148036772179595e-05
-28971.81669842145,40637.06355506091,-0.00477575315264691,2.2497073959729832e-05
-39651.25417547198,20266.801872349977,-0.008660770683069603,2.0935822137251356e-05
-28542.923627053962,-29573.3621994076,0.01810274877296714,6.615211477013075e-05
-27213.355105814746,-27402.38192936811,-0.00026331141640596484,7.3492505373123e-06
-30901.83551957516,22437.78214238946,0.011701882692848168,2.43519991589513e-05
-16491.028321627462,59159.68245475951,0.01724737203707513,1.00687326605156e-05
-4567.8009376112095,-21443.73395415335,-0.015746127662605254,2.0099212884305607e-05
-32917.632955002366,10566.677261535244,0.001967678738392648,5.318763331771279e-05
-26398.45827021651,-41767.80456728897,-0.006650734861522463,2.9204927180534078e-05
5811.411389482069,-25462.357007205166,-0.008905720511565034,2.7694734084773772e-05
-34161.4228619681,9411.900522152544,0.004331082542709107,7.617958318998193e-06
-16748.364164447958,59067.30031560889,0.0025760753509763536,6.2874930738570645e-06
33303.45726413825,41791.84029444362,-0.006768933880124591,7.185863974057427e-06
-26998.908570130996,-8787.3808905189,-0.0036235597679203533,1.7390989959643907e-05
-19321.722592652906,-38395.85648829147,-0.004136458785185102,2.0762585663462628e-05
-37849.90327572852,14816.255662463613,0.021100089211291174,9.431315764536609e-06
-30344.274526797424,5300.895329950108,0.011456655228688198,9.921932080033505e-05
-10100.52155825185,-29203.833642805133,-0.005633792041953628,8.603097037988493e-06
-28757.370162737705,-29434.788990681674,0.029743920154013195,2.8433214421600654e-05
-14303.673657653257,58189.66999367803,-0.004020597644414306,1.4422573611836735e-05
-29829.602841156433,40452.299276759666,-0.020134389458917726,2.5296832543958615e-05
-39608.36486833523,21052.050055130218,-0.00920215388239858,1.7286415534804072e-05
-41795.719532309435,24193.04278625118,-0.002223874740302138,7.315578444424758e-05
-31759.621662310146,-19318.94475368918,-0.005935580145900642,6.619825965195498e-06
-31630.9537408999,9966.19335705624,-0.0003341668835640122,3.277579153220093e-05
-32188.514733677635,9042.371965550077,-0.0045253520619057495,4.590697007363879e-06
23353.138008412447,-42183.52419346674,0.0007104642706234118,1.6472631334181833e-05
-39737.03278974548,12783.848601150044,-0.00941485836802924,6.1681273112005104e-06
-34504.53731906209,1282.272276898293,-0.0029844464489610827,2.2635745029146604e-05
-35362.323461797074,50152.4238875744,-0.013672557931547619,2.9772886529541603e-05
-43425.5132035059,29782.162204863467,-0.003449600819665469,2.2602387309096664e-05
-39608.36486833523,6917.582765085899,-0.016385643311602097,5.662953710941294e-05
-11901.872457995312,-48604.08286443459,-0.008565367993082688,5.90519601655443e-05
-42310.391217950426,3222.2971990612423,-0.006310639441171893,8.691785662064213e-05
-31073.39274812216,-33130.074556706335,0.028652716597232116,5.64399983147817e-06
-33904.0870191476,52092.44880973735,0.009876458604094435,1.9518666989471404e-05
-31202.060669532406,31352.658570423948,0.014687822484901535,3.5696510109539494e-05
16619.51678794284,31445.04070957457,0.008867054078654693,1.1423036114004347e-05
27684.958029224108,-47634.070403353115,0.013846917044716637,5.206251253064773e-05
-27899.584020002723,40406.10820718437,-0.013685726324939293,5.803495677426776e-05
-8127.613429961391,-30358.610382187842,-0.018164120827979593,2.1436642670523294e-05
-33003.411569275864,-7494.030942410268,0.006820643659198265,3.9750645534318414e-05
-15890.578021712972,53478.180896996586,-0.000928418559039682,3.2951427191665136e-05
-15976.35663598647,59806.35742881381,-0.001738991420311693,1.184290200385695e-05
-38321.68565423276,12275.74683582165,0.025736708993894332,1.5483171365408467e-05
-4653.579551884708,-24769.490963575543,-0.008103402832845677,7.199590264831649e-05
-13016.994443550786,17772.484115283332,0.005558637759308808,2.527268529271374e-05
-37421.010204361024,7425.684530414292,0.011631060189188134,1.3702352351901188e-05
-35104.98761897658,8534.27020022169,0.0016178776633126958,0.00010153974062884302
-1479.7708237652769,-26247.605189985406,0.011292924953243886,3.804934424466415e-06
-8942.51026555962,-12852.195013146025,-0.007495692645121546,4.295420597536528e-06
-14175.005736243009,61931.146629277995,-0.0016279262836081622,5.5915208461363225e-05
-23138.87092782358,-34331.04236566435,0.0046171590123940814,5.98066695578933e-06
-12373.654836499547,-31005.285356242155,0.020904817923189857,4.973022874249074e-05
-5811.590844576938,-38395.85648829147,0.009673043052737343,1.1528263450421589e-05
-24468.439449062796,-41860.18670643959,-0.009536309614372433,5.401810138027651e-05
-13617.444743465276,-53084.61661323949,0.02937796514476382,1.3810273127820111e-05
-40380.37239679671,7979.977365317987,0.04271119974582612,3.41282631493333e-05
-24897.33252043029,56803.93790641879,0.001678933373852006,4.8630054259519926e-06
-26484.23688449001,-41675.422428138365,0.022359127424905756,5.176490040441135e-05
-41366.82646094194,8026.168434893299,0.0010809660798981073,5.828227080503025e-06
-25840.897277438766,-24584.726685274312,0.00889137690337676,4.027196405534497e-05
-43897.29558201014,19065.834063391965,0.008657218926700435,7.452860022024124e-06
-24125.324991968802,32368.862101080736,0.0008081550950898037,2.1087548451031647e-05
-9156.956801243366,-27725.719416395274,0.013214367165226247,2.1000741486182874e-05
-30044.049376840183,-15161.748491911436,0.0038589715150210676,5.8438595605086097e-05
-25926.675891712264,-25878.07663338294,0.0008851312400263694,1.6078465173045443e-05
-37292.342282950776,21513.960750883292,0.02090836326907896,2.548752921261055e-05
-16619.69624303771,-40197.30820172849,-0.010701595955464594,5.4898310589578906e-05
-34075.644247694596,2298.475807555078,-0.0019700646142497055,8.319885586185201e-06
-41195.26923239495,5208.513190799495,-0.004597236450942029,3.777725859630965e-05
19192.875216147797,9642.855870029081,-0.0147234684988476,2.8711298108510367e-05
-21251.741413806616,-42599.24381964452,0.010612383835005797,7.5868163420233266e-06
-34032.75494055785,11536.689722616728,0.02232045593304976,2.5714290426520284e-05
-25669.34004889177,-27494.76406851873,-0.002930046626497734,1.5824487710301848e-05
-15719.020793165984,57173.46646302124,0.0038263369313236797,1.4876798813679201e-05
-35190.766233250084,-6200.680994301634,0.010080442280402283,4.962086158804887e-05
-27513.58025577198,49644.32212224601,0.006457908864659543,5.323468141336449e-06
-38579.021497053254,20682.52149852775,0.006546333076185225,1.3039528618148798e-05
-37163.67436154053,2252.284737979768,0.012433275416744344,3.0645310786233244e-05
-34204.31216910484,6039.952443155045,0.0004498340122303322,3.500334901415543e-05
-8084.724122824642,-49897.43281254322,-0.00893133959946147,0.00011198667001354559
-33732.5297906006,4977.557842922957,-0.005307227716017521,8.285624612926703e-06
-42653.50567504442,24793.526690730178,-0.008285584315826544,1.2907401673121973e-05
-9971.853636841604,-38950.14932319517,-0.00915473308831005,6.407018158197277e-05
31630.77428580503,-39966.35285385195,0.03635938834211794,1.5050581556403284e-05
-36691.89198303629,6270.907791031583,-0.008326139778267388,2.926131146092433e-05
-37077.89574726703,4238.50072971802,0.0305931297843164,2.281767776376052e-05
-27642.248177182228,-34792.95306141743,-0.002263151603125714,7.129198322527072e-05
-41238.158539531694,8719.034478522917,-0.010852085830423354,7.369126574669388e-06
-32102.736119404133,-37425.84402721,-0.011432131336589872,6.461328481491251e-06
-31759.621662310146,-24122.815989521234,0.013700970575790849,7.98998410786191e-06
-16105.024557396717,-26570.942677012565,0.00032854202161620473,4.868329399172865e-06
-21766.4130994476,45394.74372131765,-0.0052284610602657015,4.617905599569974e-06
-35362.323461797074,2206.0936684044573,-0.002098016541034117,7.066592630550913e-05
36048.372920890186,30567.410387643708,-0.0056083395955057215,5.202695132918552e-06
-10958.307700986827,-30312.419312612532,0.0029109089414361576,3.6977384233489666e-05
-13617.444743465276,59852.54849838914,0.009249207194112163,2.4091234001471852e-05
-10658.082551029584,-40751.601036632186,-0.008289771652481749,9.016096893718885e-06
-34761.873161882584,26179.25877798943,0.0007007162767053623,7.585261068996981e-06
-16233.692478806965,60129.69491584098,-0.017826316144820362,2.0807250682629297e-05
23052.912858455216,-53916.055865595044,0.014627683776243112,9.443909709000835e-06
-34718.983854745835,-3567.7900285090655,0.003306380747208014,1.149575248860251e-05
-34375.86939765184,21190.62326385614,0.013793570480014568,6.8999795228150516e-06
-23782.210534874812,-20889.441119249655,-0.0002018567976178028,1.0375471027054393e-05
-27127.576491541244,-30635.75679963969,0.05987398601226629,3.1589713392813165e-05
-10443.636015345837,-32298.63530435078,-0.020831063007642273,6.981523283732924e-06
-23181.76023496033,-41213.511732385276,0.0006110189239036451,5.646554565259274e-06
-29100.4846198317,-16501.289509595375,-0.00016762647144072124,2.98531051851394e-05
-30944.724826711914,-26940.471233615033,0.0037362545842648423,8.875987692404945e-06
12030.360924310684,-11050.743299709,0.0010503196998626059,1.3589149575826854e-05
-21423.298642353613,-48373.127516558045,-0.01006565455409159,1.3686127348853008e-05
-35705.43791889107,4885.175703772336,0.0021298597032275487,8.280127906026981e-05
16876.852630763336,-5877.343507274476,-0.0021048707710761604,9.56778892552673e-06
-41624.16230376244,24747.335621154874,-0.01572073350733555,3.662698915088115e-05
-22323.974092225344,-40797.7921062075,0.0027006825405848983,5.518594247807518e-06
-41624.16230376244,49136.22035691761,0.005859720609051703,1.0306939175583124e-05
-23739.32122773806,-42460.67061091859,0.0018298032005481212,5.6145457031705015e-06
11258.353395849212,19019.64299381665,-0.007839212310267175,6.924160813642576e-06
-13574.555436328526,56619.173628117554,-0.0018832761098814424,5.8952001492573684e-05
-13231.440979234532,63270.68764696194,0.037546774156467004,1.1501097695276196e-05
-18721.272292738417,47334.7686434806,-0.0033640777621709826,7.306336703562397e-06
-42867.95221072817,25394.01059520919,0.0031800674537258537,1.3682552940916438e-05
-24511.328756199542,-42229.71526304205,-0.008003762917249156,7.037143356361425e-06
-36649.00267589954,28211.665839302987,-0.006478687345972459,0.00012019631188648655
1308.034140123418,-39920.161784276635,-0.011959870924575077,7.453327678078533e-06
-36305.88821880555,40221.343928883136,-0.02318524601875365,4.923184671628734e-05
-22924.42439213983,-42506.86168049391,0.021105481228623643,4.616184535070622e-05
-36520.33475448929,6779.009556359975,0.0193755072955913,2.2037076967088077e-05
-32917.632955002366,33246.492423011594,0.008359611540919467,3.954063004489761e-06
-30172.71729825043,-34792.95306141743,0.00034942212261558116,4.678437090084148e-05
-21.534381115809,-30081.46396473599,0.011570006619178154,3.9665191671115374e-05
-30344.274526797424,21513.960750883292,0.011070583379013581,5.993019786474664e-06
-22624.199242182585,-48280.74537740743,0.004170128175092421,1.3489701595920686e-05
-31416.507205216152,57127.27539344594,0.017746902132763046,2.0039116011816438e-05
-15804.799407439483,47935.2525479596,-0.019532766028479896,2.222322747117358e-05
-31716.732355173393,40821.827833362135,-0.009934546478291222,1.5173454039985705e-05
-1694.2173594490232,-20427.530423496577,0.01024723406247244,3.693054416635005e-05
-27384.912334361732,-26247.605189985406,0.009555916093307675,8.336253848139093e-06
-39007.91456842075,-14006.971752528727,0.015249834611909355,6.768606008746386e-06
-13960.559200559263,-32991.501347980404,0.005952745903199256,1.549220389219896e-05
-27427.801641498485,51214.81848780649,-0.006214796878880626,5.936540850316494e-05
-9843.185715431355,-14561.26458743243,0.0022090079889992434,9.809881263732348e-06
-20608.401806755373,-41444.46708026181,-0.004908161652696442,9.016554975512494e-06
-26269.79034880626,42115.17778147077,0.0023392135410151074,6.455094710875923e-06
-9714.517794021107,-19780.855449442257,-0.0035412571247793656,4.003842310369379e-05
30301.205764565813,312.2598158168257,0.008504785495297047,6.655609641040968e-05
-38064.34981141226,12506.702183698197,-0.03575246817967811,1.5221897902008563e-05
