X,Y,losA_mean,losA_var
50845.186556449175,-16926.206581825903,0.003137871194678084,6.381289283066551e-05
35876.84255402328,-53269.625460021605,0.010217786495234495,5.160285778611104e-05
-36434.41242617744,-16141.15179030198,0.014474954600648777,4.603253867816306e-06
-20350.94824018973,-33689.435365542595,0.004536575995292041,7.076643286468596e-06
-16104.913695088975,-39184.818906210065,0.0012866688251163554,3.6851290511287356e-06
-27084.558579389915,-37014.37330611451,0.0016331027905723376,1.3037578033306882e-05
-28928.795806049842,-24545.856028969854,0.005684012791221618,1.9760254606743837e-05
51102.52198342496,22372.712687989282,0.0037225926806681202,7.96329682785037e-06
-22366.742418166854,-34751.568318780846,0.014278763036484406,1.699998431975295e-05
-37892.64651237365,5286.226048939199,-0.0014600269085768137,2.8340909036591955e-05
-27642.118671170825,-27455.176726970272,-0.006270648899891559,2.6978401297509266e-05
-31116.146935344164,40983.12921646814,0.014993066704896153,3.3364064478249726e-05
-31630.817789295772,-35305.7246422095,0.02064396117790789,1.5484523024393377e-05
-37592.421847568556,11797.562849225847,0.029490071316352867,9.97987807754834e-06
-41752.67791701071,-3395.556351443003,-0.007351455440375525,6.172222396575073e-06
-18806.935678334914,-50267.945374783085,-0.009547462565537566,7.195908056591672e-05
-44497.58913808593,27267.76021160904,0.027684527334648885,2.12032512627946e-06
-24596.98278529048,-43571.88980002021,-0.0028547917582671073,3.689370138771508e-05
4524.809700804581,6486.898083034612,-0.012567029432559492,4.918549665946123e-05
23267.40663220891,-41447.623893543714,-0.00849223205274869,6.248673147950533e-06
-39522.43754988707,-14340.143739158862,-0.015336583347375895,4.020449359569049e-06
-24725.650498778385,-21082.379007540785,-0.001963127069867752,5.878195118148315e-06
-35019.067577810514,-17480.36290525455,-0.007366732265364787,1.2430981249376682e-05
-37077.75099361694,2284.545963700672,-0.0009702715439492394,8.345358387368656e-06
-41795.56715484,-3487.9157386811135,0.0036575326840581355,3.7738027486181837e-06
-18378.043300041903,-48328.398242782794,0.002079732117344302,2.1940087700111106e-05
-28800.12809256194,-32673.482105923405,0.0032647916463269576,6.994451872794453e-06
-22838.524034289167,-32627.302412304354,0.044766216099627124,1.4233929092107256e-05
-30258.362178758154,-34428.310463447466,-0.01961377695969637,1.5965958762455197e-05
-24168.09040699748,-38907.74074449573,-0.008151648451445396,1.8245540574957334e-05
-26055.2168714867,-45927.05417459198,0.007247438930936475,1.7737411989622464e-05
-3323.920821957414,-37799.42809763843,0.010348920404012682,8.393251101414286e-05
-17520.258543455893,-43110.09286382967,-0.006161746500382464,5.730504997306544e-06
-27341.894006365717,-32396.403944209083,-0.020002179021128177,5.3811476130353064e-05
-27899.454098146623,-27824.614275922708,-0.011276057505620309,9.573579643320189e-06
-20994.28680762924,-48282.21854916374,0.005121219471459486,8.52381701733565e-06
-37335.08642059274,6163.640227701231,-0.005672096373035738,4.664198427251213e-06
-25454.767541876496,-29025.286310018117,0.03487065504660052,2.5636679402564967e-06
-26526.99848760901,-32534.94302506624,-0.013920599786295059,1.88480730695581e-05
-34118.3935833952,32578.42497780026,0.003350040648769757,1.766251783537691e-05
-32874.60568634549,-28886.747229160956,-0.023403290564776538,2.1539869374773023e-05
-26870.112390243412,-32719.661799542464,0.004873178074372802,1.9270618283302913e-05
-39479.54831205777,29622.92458618079,0.0031276315638531548,2.1280789668610074e-06
-8041.736983180476,-30964.833442018396,-0.0003679414195422889,2.0444148486293323e-06
-34547.285961688205,9580.937555511244,0.001188653035328978,4.497393117464664e-05
-11515.76524735382,-30918.65374839934,-0.013836456901945123,9.928849085913896e-06
-8470.629361473482,-44587.84305963941,-0.010945668486683342,5.159323256651316e-06
-20779.840618482736,-48282.21854916374,-0.019500372022810946,6.37022057731584e-05
-10915.31591774361,-22744.84797782674,0.01179783252390001,5.304106858128641e-06
-9628.638782864597,-28286.41121211325,-0.016761445740655516,2.229823238317173e-05
-27256.115530707117,-36321.67790182869,0.015672467784446156,2.8586827918741645e-06
-37120.64023144624,7179.593487320424,-0.02304975945491435,1.0335944177246944e-05
-31116.146935344164,-28471.12998658947,0.04279936600125683,6.671693279417799e-06
-25969.4383958281,-32350.224250590025,0.005814935141274482,3.903811440064147e-06
-38450.20660415457,10643.070508749493,0.08489089956699943,9.262359301939933e-06
-25754.9922066816,19001.595053798308,-0.0031443177044604862,8.5939193524608e-05
38450.196823781305,-45003.46030221089,-0.004895433394498593,6.828216132606839e-06
-17477.36930562659,-33042.919654875834,0.01073026296924973,2.5981509455801632e-05
-25583.435255364395,-23853.160624684046,0.011641660942175173,5.400398528656863e-05
-35147.73529129843,-1409.8295258236685,-0.0006403691734271307,6.156057888536033e-06
-10915.31591774361,-6120.158274967202,-0.013430796518989652,2.23882234327356e-05
-39307.991360740576,11335.765913035306,-0.0034265887265458013,5.1652864896643575e-06
-24511.204309631878,-39692.79553601965,0.03477698712327423,4.265339918842267e-06
-38964.877458106166,5655.663597891631,-0.015615654907837657,3.898883328081905e-05
-26098.106109316002,-23714.621543826877,-0.00997749305949962,2.5177698773985723e-05
-30773.033032709758,-24037.879399160258,0.005626489218869038,4.229776954845854e-06
-29443.46666000145,-33827.97444639976,-0.009294428042982642,1.2744598365256346e-05
-1265.2374061509909,-15217.557917920894,-0.023160067677607032,4.680979898071757e-06
-10829.537442085015,26528.885113704157,0.0017799227216937618,1.0198403957479313e-05
-40594.66849561958,10689.250202368545,-0.008963941394763177,2.992824205909297e-05
-36391.52318834813,10643.070508749493,-0.0070527891270663326,5.439827814504374e-06
-29958.13751395305,-32858.20088039962,-0.004651472018548597,1.0085593249569579e-05
-36820.41556664114,6302.179308558392,0.010272591716043689,8.249533454512357e-06
-20436.72671584833,-30964.833442018396,-3.8019694030676926e-06,9.412827736949713e-06
-27341.894006365717,40428.9728930395,0.020893196985335576,7.74848930226607e-06
-5725.718140398247,-43848.96796173454,-0.019700442989367312,6.702018764827131e-06
52131.863691328195,-20805.30084582646,0.012070498925258142,5.027270288960642e-06
-32917.49492417479,-13047.11231782534,-0.008316153004405169,8.17032355007444e-06
-49000.95911016249,26805.963275418482,0.009334519341008585,1.9479315921374562e-05
-36477.301664006736,-7089.931840967343,-0.0015493976091524712,9.13180362752314e-06
-30387.029892246057,-30687.75528030407,-0.0015310991112785252,4.222305125484544e-05
-28757.23885473264,-32534.94302506624,-0.01069716147032537,2.532208244667963e-05
-31888.153216271574,2884.881980748374,-0.011216455307200055,8.4137754951899e-06
-30601.476081392557,-33643.25567192354,-0.014015128646336104,1.2047432658953384e-05
-14775.347322380656,-53177.266072783495,0.002381721375616811,8.674207774207897e-06
-27642.118671170825,29299.66673084742,0.001369593307553384,1.5220167130767352e-05
-24168.09040699748,-35675.16219116193,0.0013312773316584826,8.469143664894329e-06
-31116.146935344164,-25284.73112687472,0.010254666683845455,3.402884901978699e-05
-30258.362178758154,39736.27748875367,-0.0032100858728993254,2.616122256325594e-05
-30172.583703099554,-40616.38940840074,-0.006685891259008201,1.0844072872336966e-05
-32317.045594564584,-32442.583637828135,0.0011910448613559822,3.0682953626544785e-05
-41452.453252205596,8195.546746939617,0.07685124235456665,1.5173222693773045e-05
-29958.13751395305,-14663.401594492243,-0.009896568922884983,7.611513563957884e-06
33903.93761387546,42830.31696123031,0.018422829003912965,2.9842132523000064e-05
-20393.837478019035,-47404.80437040172,-0.013474686022565222,1.4363474285319519e-05
-28199.678762951728,-35167.185561352344,-0.01544288030218911,6.061313607120643e-06
-24554.093547461187,-33273.81812297111,-0.0021907604521975866,5.946432063126315e-06
-34289.950534712414,-9075.658666586678,-8.671961761971998e-05,7.065661564076671e-06
-36091.298523543024,6671.616857510824,-0.0058272066935801505,1.1142168767836995e-05
-31802.374740612973,16415.532211131278,0.00899322272309022,2.1994934264827407e-05
-15075.571987185765,-49205.81242154483,0.0006619385640128373,1.4427518987036502e-05
-30429.919130075355,-34335.951076209356,-0.0055073266543806355,6.7069278491180025e-06
-25326.099828388593,-39554.25645516249,-0.026746081694657454,1.0537848251088359e-05
-29529.245135660047,-33643.25567192354,0.01983930858799217,3.866412828661648e-05
-25883.6599201695,-26208.32499925581,-0.021185373553122732,3.087900895557695e-05
-37721.08956105645,4131.733708462845,-0.004080558603012346,2.041234579511213e-05
-38450.20660415457,5193.8666617010895,-0.012753133099587114,5.451947471448868e-06
-20479.615953677632,-35305.7246422095,0.0047482858170068455,8.705395540260229e-06
-30043.91598961165,-35767.52157840004,0.009513636059402437,9.088991837356888e-06
-42267.34877096231,-2287.2437045857005,-0.008006013079025143,5.1588730444477136e-06
19021.372087108168,9627.1172491303,-0.0003995543196058469,3.792348958343725e-06
-25712.1029688523,-41817.06144249615,-0.009896522559496428,7.283315749095874e-06
-31802.374740612973,-17388.003518016445,-0.006685859329000916,2.1970237240958654e-05
-6797.949086130757,-23945.520011922148,0.008677495501401776,6.077165096416435e-06
-26655.66620109691,-38307.404727448025,-0.0008483856545992314,1.7354641903248624e-05
-33861.0581564194,-8613.861730396136,0.0008449044378948129,8.718364495434363e-06
-35662.406145250025,1638.0302530339104,-0.00012870105851686036,4.106981763094317e-05
-34075.5043455659,32255.167122466893,-0.008954518016180187,2.174912988908399e-05
-38664.65279330106,4501.171257415277,-0.019529029918418823,1.3587613546109982e-05
-42095.79181964511,25420.572466846854,-0.0024567381601041873,3.0474192829762103e-05
-35190.624529127716,26344.166339227937,0.029919333449723716,2.1972972740208423e-05
-5511.271951251744,-43017.73347659156,0.0022314402336103423,5.42200085776531e-06
-24082.311931338878,-16279.69087115914,-0.006096499579709151,4.0499734633695835e-06
-24039.422693509576,-29579.442633446768,-0.002345317623482392,7.566372208198207e-06
-32359.934832393883,9904.195410844623,-0.014373221932126869,6.280748524972843e-06
-7527.066129228871,-39785.15492325776,-0.000603598290430831,1.0371007984502126e-05
-38450.20660415457,2931.0616743674327,-0.006352423919907179,1.9988434537896208e-05
-35104.84605346911,11289.586219416256,-0.004593694666664788,1.7389374391654e-05
-11001.094393402214,-6397.236436681531,-0.003534670912389761,7.976822862145053e-06
-6797.949086130757,-7690.267858015046,-0.012845176102556522,4.662451218137836e-05
-12973.99933355004,-37845.607791257484,0.014615024925463588,6.189580147534917e-05
-36391.52318834813,11289.586219416256,0.0026477086449554405,9.035142208714511e-06
-31802.374740612973,8842.062457606378,-0.004090816405957128,2.0242256182486615e-05
-33517.944253785,6025.10114684407,-0.015390737474769262,3.9009183348832196e-05
-10958.205155572912,-14293.964045539813,0.003295236667563531,4.4088738809850025e-05
-21122.95452111714,-41355.264506305604,0.006499913363480044,8.710155579012934e-06
-5725.718140398247,-4180.611142966925,-0.0031766243913553247,3.238360536785542e-05
-13231.334760525839,-43710.42888087737,0.0004536604099252056,1.0463259764347613e-05
-24425.425833973277,-44218.40551068697,-0.01437978902101011,2.2405436020170395e-05
-33389.2765402971,-22190.691654398088,-0.0165979307663807,4.331176101263119e-06
-35490.84919393282,8611.163989511108,-0.005325355710197673,6.824392516492726e-06
-31244.814648832067,-27778.434582303653,-0.014370863238438357,7.914488617805609e-06
22109.397210817806,-38953.92043811479,-0.010988440557011522,5.612806620822946e-06
-44454.69990025663,10920.148670463816,0.0066941961361111305,7.464155047327371e-05
-19964.945099726032,-33781.79475278071,-0.012122608326388642,5.227193728511008e-06
-36605.969377494635,17154.40730903614,0.10895398462590736,3.645004692669705e-06
-28414.12495209823,-24545.856028969854,0.01616861591816919,5.586272310121294e-06
-24382.536596143986,-6859.0333728720725,0.012624803777965361,4.664220479137333e-05
-29057.46351953774,-31057.192829256506,-0.005462293305067882,4.532250637707423e-06
-33432.16577812639,10827.789283225715,0.013772760511935263,5.554574515327326e-05
-23438.973363899368,-42278.858378686695,-0.016533993101354616,9.84459846143944e-06
-37377.975658422045,3947.0149339866257,0.009368149861017952,1.5757070037894912e-05
-26140.995347145305,-31565.169459066103,0.006429793838561414,9.924068944539465e-06
-6497.724421325657,-27778.434582303653,-0.00867366090916765,4.3989345957746715e-06
5597.040646537098,6071.280840463121,0.004198466745223493,1.8306522393158022e-05
-35619.51690742072,-19743.167892588208,-0.023787774224725167,5.361495451134676e-05
-27813.675622488023,-29717.981714303933,-0.017983753930513907,3.327115050442335e-05
-20050.723575384625,-26531.58285458919,0.012369758036203389,6.0197157956434875e-06
-24082.311931338878,-30041.239569637313,0.00340609039607855,5.880288963419308e-06
-39393.769836399166,5794.202678748793,0.007499779007508066,1.3194621508292381e-05
-1179.4589304923866,-2287.2437045857005,-0.0005843047534215755,1.790649657858146e-05
-35962.630810055125,6533.077776653663,-0.012703741467324118,4.936406823950196e-06
-42739.13038708461,23434.84564122752,-0.016188974930652633,1.3164286216454186e-05
-16319.359884235479,-27870.793969541763,-0.00697481151413583,8.284120617372073e-06
-24382.536596143986,-46850.64804697307,-0.0206792554329004,1.2049868548176e-05
-5125.2688107880385,-43294.81163830589,0.003201134927052719,4.910130703704194e-05
-26827.22315241411,-15771.714241349546,0.05145128700953974,6.0583749285932636e-06
-33131.9411133213,2007.4678019863495,-0.0024681393278282214,3.9840641848243335e-05
-32402.82407022318,-22929.56675230296,-0.002662745615103713,4.535909751796503e-06
-24897.207450095586,-34012.69322087598,0.004235589664537501,2.1431521173600724e-06
-28457.014189927537,-13000.932624206287,0.0031995165463363762,1.6994186387393665e-05
37506.6335915367,-30503.03650582786,0.004646728156058833,3.218915382071732e-05
-38664.65279330106,5009.14788722487,0.017003461505035074,6.762726193936046e-06
-12888.220857891436,-51145.35955354511,-0.018802736454445593,1.9043324542040276e-05
-7441.287653570267,-37891.787484876535,-0.0010940873344247376,9.959026741096971e-06
-28199.678762951728,40428.9728930395,-0.01922568338183278,1.5064185296388005e-05
-6969.506037447958,-33643.25567192354,0.012719216541693822,2.3412353689632858e-05
-30901.700746197665,-34428.310463447466,-0.006111288759243549,2.7313991424488588e-05
-32788.82721068688,2007.4678019863495,0.0006991854676232779,7.01762322986509e-06
-26484.109249779704,-34843.927706018956,-0.012563330564981628,1.0408358215441922e-05
-37549.532609739246,27544.838373323357,0.02493564217425093,1.8238868061284174e-05
-27041.669341560613,-23991.699705541203,0.0023662851100354526,4.755970353769361e-05
-9585.749545035296,-14755.760981730353,0.018234221543034865,5.391672941159199e-05
-29700.802086977248,-32165.50547611381,-0.013902870472517575,1.613335630490934e-05
-235.8956982477757,-52161.3128131643,-0.005174907198223496,1.8047449747237674e-05
-34418.618248200306,-23806.980931064987,0.007824902835424547,1.1358865005505892e-05
-36734.637090982535,9442.398474654081,-0.010272017993745339,8.816990503439417e-06
33732.38066255826,-46573.569885258745,0.02656163107458653,1.8662820365592222e-05
-31802.374740612973,-30687.75528030407,-0.009586356556284401,2.440358390206578e-05
-1908.575973590494,6533.077776653663,0.00279293075754435,1.4937479076740826e-05
-22924.302509947764,35210.66751408636,0.006298103504192028,1.7929238742678944e-05
-26913.001628072714,-33135.27904211395,-0.0013142669997439666,6.181673253809293e-06
-48657.84520752809,30962.135701133368,-0.0029828453451349567,7.496436615095138e-06
-36134.18776137233,114.1003636051245,-0.0024456592675941857,1.3556335271349834e-05
-23095.859461264965,-27916.973663160818,0.0007883422913549237,5.239555641890855e-05
-38707.54203113036,11335.765913035306,-0.006715961039526106,6.863543238852854e-06
-23524.75183955797,-38538.303195543296,0.013195657753380177,4.51012044377909e-05
-48443.399018381584,21957.09544541779,0.012761336733057325,5.0484880890481286e-05
-23739.19802870447,-16372.050258397248,0.02961022544608661,3.464496814565022e-05
-34633.06443734681,25743.83032218024,0.0606406231413332,7.310801437045223e-06
-9757.306496352498,-43248.63194468683,0.00589080583269947,8.03732232481921e-06
28199.66898257848,-2102.524930109481,0.003220929567508921,1.4960529292306194e-05
-34547.285961688205,-3534.0954323001642,-0.006814735818346953,1.5076999052487783e-05
-39865.551452521475,9811.83602360652,-0.009136133407020477,2.406440184521782e-05
-34761.73215083471,5470.944823415419,-0.01122330359284228,9.322420692059191e-06
-42310.23800879161,5794.202678748793,-0.014549984653508765,5.335753927895202e-06
-42353.127246620905,3947.0149339866257,-0.005879924901973999,9.574505903692152e-06
-18420.9325378712,-43479.53041278211,0.01743690464836975,4.300221715666559e-06
-26312.552298462502,34748.87057789582,0.013881020907945834,2.1416813781872624e-05
-33603.7227294436,-13832.167109349262,-0.0016507502120856016,1.104594403170613e-05
-13874.673327965349,-47866.60130659226,-0.0027173523499632174,2.1483482197935173e-05
-24382.536596143986,-32812.02118678056,0.006375587140698652,4.532284739994951e-05
-32231.267118905984,-30872.47405478029,0.0005808460508502145,1.1344899511967375e-05
-32231.267118905984,-10969.026104967903,0.0032671501603724696,6.166480336563025e-06
-10314.866588133402,-31888.427314399483,-0.016601482346884917,7.566925819389309e-06
49429.84170808225,-18727.214632969015,-0.0013055501074309877,2.8932289667745428e-05
-42353.127246620905,4085.5540148437867,-0.00288633614052725,1.093765863476956e-05
-39779.77297686288,-14247.78435192075,0.0005641601432241471,3.289136236450351e-05
-32745.93797285759,19371.032602750747,-0.005436707923235018,4.286033804867022e-06
-13831.784090136049,-24915.29357792229,0.007327435075004635,6.728300595479038e-05
-6369.056707837757,-27824.614275922708,-0.01331040583088293,8.708215800822465e-06
-38578.87431764246,-11292.283960301284,-0.007036665570263785,1.3942495574248342e-05
-24511.204309631878,-41909.420829734256,0.021270995756722224,1.0114368914257756e-05
-22838.524034289167,-30918.65374839934,0.0027681813955577257,1.1283549300953358e-05
-31116.146935344164,-33089.09934849489,-0.009601080280096584,1.563643253960497e-05
-38278.649652837354,11335.765913035306,-0.0029369767183706277,2.0349502788801558e-05
-11043.98363123151,-5843.0801132528795,0.004803617733253013,5.884905826651153e-05
-43725.58285715852,19925.18892617941,-0.0030646857436485014,6.9063446178798155e-06
