X,Y,ux_mean,uy_mean,uz_mean,ux_var,uy_var,uz_var
-23891.4682423,-15119.6579888,-0.006143746707611768,-0.0069495797969054834,0.016962603453508765,0.0014152834772677239,0.001233551235434522,0.0015879817354732557
2289.37435894,52925.94076519999,-0.002958031245685511,6.482579679330941e-05,0.004892732415666649,0.0014964039687069698,0.0011506658388210874,0.0026434266598159093
-1308.7659037699998,46701.6993828,-0.007655728070355746,-0.0014040685440087912,-0.0038296778630941782,0.0015194593456435003,0.001410460272950023,0.0028565058073360323
-16016.211415400001,61584.1100667,-0.0020665773944142807,9.291479555528326e-05,0.004776232859358881,0.001474205592780556,0.0012530255371502313,0.0024505331014440844
-50953.6743915,12910.7362578,-0.010332208159841288,0.005941062402347644,0.019004859825715426,0.0014497685694268283,0.0014468527738794989,0.0022679319318407586
1502.1669179399998,55229.4403494,0.0013249751864838274,-0.0004162806328861131,-0.002745519587142628,0.001512425919679893,0.0011816627097904814,0.0025901250910020284
-45960.40274500001,56641.2375629,-0.00011404850523412131,-0.005285767165514473,0.007447053852069688,0.0014812904462930489,0.0014697710587004208,0.0026390523829044206
-11163.5073378,-5577.3154624,-0.00817073399020455,-0.011558757212011078,0.012099962249605523,0.001430527550862896,0.0013076818217891335,0.00178070845232083
-37933.830060600005,6570.653209780001,-0.01942141971451003,0.001867738136910671,0.0192762961243155,0.0013549882817770263,0.0010257796543122805,0.0013948928434054703
-32065.1919616,-20486.680686300002,0.003320336158046236,-0.0023223570035983236,0.00412328977877463,0.0013868577693109299,0.0013778027542042577,0.0014559445121867202
-14016.6129062,59034.7879877,-0.00387868504327373,-0.0004317940125506438,0.002372609573772437,0.0014590658901011187,0.0010670577562911768,0.0023011061209174555
-19763.4961426,-38458.604517600004,-0.0009499802730801102,-0.0010984490594304775,-0.0015247976066796644,0.0014213583150809563,0.001377805661284255,0.0014707289044114578
11643.535156400001,-2697.63871436,-0.011513789096650223,0.0018752603844654492,-0.009010145863978039,0.0014576803681252207,0.0014692614068485483,0.001833428637337941
