X,Y,ux_mean,uy_mean,uz_mean,ux_var,uy_var,uz_var
-51143.51319906573,-49924.59990803239,3.532919238820066e-43,3.7924597453289605e-05,1.1935058180638684e-15,0.00017258168083446245,4.2337378133080144e-05,0.00018095756434302582
-46616.569107896015,-49924.59990803239,6.301573047578304e-30,0.00012929407863291885,1.8916404729986018e-11,0.00017258168083446245,4.2274216659569194e-05,0.00018095756434302582
-42089.62501672629,-49924.59990803239,2.8438285188453506e-20,0.0002824235502285413,1.7066231708818018e-08,0.00017258168083446245,4.188505294801478e-05,0.00018095756434200307
-37562.680925556575,-49924.59990803239,-1.1602905262607026e-13,0.0003400412947021451,-5.732836858394778e-06,0.00017258168083446245,4.0599819267672544e-05,0.000180957496416273
-33035.73683438685,-49924.59990803239,-9.394164707371923e-08,5.351374298008353e-05,-0.0005738520236874417,0.00017258168048391194,3.773683010958989e-05,0.00018055112866088169
-28508.79274321714,-49924.59990803239,-0.0005350289571805949,-0.0004835346125044288,-0.0028951041173447527,0.00017219539772900933,3.3601400506531496e-05,0.0001443004101837275
-23981.848652047414,-49924.59990803239,-0.003001256398096888,-0.0007000059701694355,-0.011326033817440663,9.091049460392795e-05,3.178086385728239e-05,3.42778135436636e-05
-19454.9045608777,-49924.59990803239,-0.00499188903853682,-0.0002800227766575291,-0.0005425298388669272,2.7760863580343295e-05,3.3596478818313776e-05,8.240053213820709e-06
-14927.960469707983,-49924.59990803239,-0.01056087116642207,0.000228995306076135,0.001931949452231298,2.5062071510870777e-05,3.4889211079826345e-05,5.603374552239722e-06
-10401.016378538267,-49924.59990803239,-0.014662136876749075,-4.5998052031908515e-05,0.003522099584897142,8.7522441770159e-06,2.8683732514235002e-05,2.7190436250865743e-06
-5874.072287368548,-49924.59990803239,-0.013395216306587238,-0.0011977079212899767,-0.0063748488831503886,2.102623880591062e-05,1.2496553298278325e-05,4.049043335483749e-06
-1347.1281961988311,-49924.59990803239,-0.00951517053436178,-0.002249072975720051,-0.003091236252841495,7.1178599166751724e-06,3.92976951961459e-06,2.0230239569966554e-06
3179.8158949708936,-49924.59990803239,-0.0015430317438980233,-0.002297140664899701,-0.0018826249184184587,1.7133328857243886e-05,1.6730036516154806e-05,6.20443350807511e-06
7706.759986140611,-49924.59990803239,-0.002022910908601903,-0.0015270383715453686,0.0010342928943927673,0.00015436960819653628,3.3425010901144834e-05,6.247534039991283e-05
12233.704077310329,-49924.59990803239,-0.00846171505662887,-0.0006297547439981614,0.003725759145776636,2.805808858421499e-05,4.031846828826631e-05,1.1364786618944849e-05
16760.64816848004,-49924.59990803239,0.000419862412056082,6.112400256140689e-05,-0.0005788933344459506,6.59518331212392e-05,4.15566640982487e-05,2.2207328740390242e-05
21287.592259649762,-49924.59990803239,-0.01804455263733773,0.0004885918657986063,-0.0038576253682564704,1.459487069156075e-05,4.1657095488550516e-05,6.331738767383251e-06
25814.536350819486,-49924.59990803239,0.000992076352743251,0.0006273750474551659,-0.011787930771342707,3.806676228498539e-05,4.166749082484588e-05,1.1658206673894716e-05
30341.480441989203,-49924.59990803239,0.0002141403650137274,0.0005704003356171955,-0.007118374050564029,0.00010735909669240654,4.169530927566549e-05,2.4476207494378017e-05
34868.42453315892,-49924.59990803239,-0.0030530515296778205,0.0004930314304496652,0.00019595320213114907,7.363590604887905e-05,4.178204256201748e-05,3.265787277038798e-05
-51143.51319906573,-45361.51998604448,-1.6196662453562156e-36,8.348244674136506e-05,2.4891062256086526e-13,0.00017258168083446245,4.231509404518016e-05,0.00018095756434302582
-46616.569107896015,-45361.51998604448,9.03961816473699e-24,0.0002876121775645196,2.3091205971260356e-09,0.00017258168083446245,4.198432192853378e-05,0.00018095756434301498
-42089.62501672629,-45361.51998604448,5.0623311120118525e-14,0.0006474102791328913,1.7777257055703733e-06,0.00017258168083446245,4.0045720925374736e-05,0.00018095755355849143
-37562.680925556575,-45361.51998604448,5.833773694753528e-08,0.0008598493234253865,6.702961773647737e-05,0.00017258168082889353,3.470149016657168e-05,0.00018088559295487345
-33035.73683438685,-45361.51998604448,7.58851589692035e-06,0.0004017777607537394,-0.0026795291904412443,0.00017257648376812118,2.666476107297035e-05,0.0001690909224657945
-28508.79274321714,-45361.51998604448,-0.003779836332652829,-0.0006363310135662145,-0.01100912310159382,6.412038667342046e-05,1.8190520141300213e-05,2.1258298319266932e-05
-23981.848652047414,-45361.51998604448,-0.008764481760027323,-0.0012127953329960895,-0.003753474163032418,1.0739880193996526e-05,1.4532622512879223e-05,3.293036091001197e-06
-19454.9045608777,-45361.51998604448,-0.004307500479164188,-0.0005614937500944238,-0.003569242098672494,1.3562312922231235e-05,1.7621898714958626e-05,4.449087236279057e-06
-14927.960469707983,-45361.51998604448,-0.012126344216341959,0.0007089565485888238,0.008873729687552623,1.1939406833014172e-05,2.2448663647070955e-05,3.0535333555056342e-06
-10401.016378538267,-45361.51998604448,-0.01440181428208679,0.001230447242981437,0.0021898199715010627,2.1642707354427928e-05,2.0273498619755592e-05,4.576065723112558e-06
-5874.072287368548,-45361.51998604448,-0.006582254884304259,0.00035528326511730015,-0.0038529583480363845,1.3944490752082933e-05,9.605077855316812e-06,3.2807581271154026e-06
-1347.1281961988311,-45361.51998604448,-0.006807267606862996,-0.001099102964207746,-0.000754028163687151,1.9189094623353283e-05,6.4719532261553505e-06,4.343961777167289e-06
3179.8158949708936,-45361.51998604448,0.0033281868776587013,-0.0018685934765907799,-0.0009789974648343764,2.887356382394915e-05,1.950569958422579e-05,8.4508533100565e-06
7706.759986140611,-45361.51998604448,-0.0026278328296488133,-0.0016728504413144386,0.0006577595644112564,3.8499037957123256e-05,3.429102210079282e-05,1.5976392352813742e-05
12233.704077310329,-45361.51998604448,0.006649273470199436,-0.0010228357874729767,0.008354354510557688,2.2153735932551108e-05,4.0362428409050955e-05,9.475027049343315e-06
16760.64816848004,-45361.51998604448,0.006724903369804017,-0.0003467163788157563,-0.003472886011984859,7.313005979832757e-05,4.1489862461993264e-05,1.2916022310161202e-05
21287.592259649762,-45361.51998604448,-0.0031219997253545684,0.00013895521733232267,-0.005135402868181829,2.7899814639939123e-05,4.159297965388567e-05,8.127465644153958e-06
25814.536350819486,-45361.51998604448,0.01251701024617536,0.0003396496910152368,-0.00821471041650048,2.3846513397201977e-05,4.160283633923534e-05,8.257114529799828e-06
30341.480441989203,-45361.51998604448,0.020527687821712066,0.0003694010560969089,0.0060578653641454715,3.41732697390288e-05,4.162295031725661e-05,1.3301735132109036e-05
34868.42453315892,-45361.51998604448,0.008240445140640058,0.0004171924599046901,0.004434647689196741,3.857473359033267e-05,4.169177217950961e-05,1.105271752380486e-05
-51143.51319906573,-40798.44006405657,-5.001656575599545e-31,0.00012105627359480881,1.0770127723130611e-11,0.00017258168083446245,4.227134091693951e-05,0.00018095756434302582
-46616.569107896015,-40798.44006405657,-5.049389877920878e-19,0.0004242283270523277,5.456466925299335e-08,0.00017258168083446245,4.1417201571935745e-05,0.00018095756432963688
-42089.62501672629,-40798.44006405657,-1.0233276439802073e-10,0.0009897236540621903,9.84612668404381e-06,0.0001725816808344624,3.6516327370584045e-05,0.00018095449167663334
-37562.680925556575,-40798.44006405657,1.9403069436260395e-05,0.0014464594042297037,-0.0005826699805964331,0.00017258061442435247,2.431172070254355e-05,0.0001758598753882714
-33035.73683438685,-40798.44006405657,0.005340415078457144,0.001069437674055511,-0.004722615479281716,0.00011027891737584264,1.178178322887893e-05,6.593128532435071e-05
-28508.79274321714,-40798.44006405657,-0.006574001748186868,-0.00019664049752004566,-0.002416277732898965,1.142416935020731e-05,5.200246562637533e-06,4.139234453483817e-06
-23981.848652047414,-40798.44006405657,-0.006166646213363811,-0.001200300973764972,0.0009723422784187613,1.0718964941219296e-05,2.5958546145959604e-06,2.7871752924743824e-06
-19454.9045608777,-40798.44006405657,-0.011911649143842264,-0.0008121226970530943,0.0004901795950112628,1.831920397177698e-05,4.056489624500181e-06,3.7493819538427073e-06
-14927.960469707983,-40798.44006405657,-0.009559455973455415,0.0007958066998853177,-0.0029470042589115134,6.391489157059246e-06,8.534709781969429e-06,1.8261744310865647e-06
-10401.016378538267,-40798.44006405657,-0.014712969151870885,0.0022819094978229412,-0.003487122939767155,7.356334364437886e-06,8.181411903556526e-06,2.2669740980146066e-06
-5874.072287368548,-40798.44006405657,-0.01278963067583655,0.0022901917591981154,-0.0032464352346288222,1.130084854603246e-05,7.312232856863342e-06,2.6447509066529354e-06
-1347.1281961988311,-40798.44006405657,0.001980045334517377,0.0008556668449060975,-0.005025025558904231,1.1429165048540402e-05,1.7004641748666705e-05,3.7105091382767623e-06
3179.8158949708936,-40798.44006405657,0.005389921121438181,-0.000717847544298027,-0.0018219325045507944,1.3601385624128164e-05,2.9464718324595994e-05,5.0099261491571136e-06
7706.759986140611,-40798.44006405657,0.008206590272160998,-0.0014520689176689531,0.0032831129959399533,7.016930716197047e-05,3.722485984617322e-05,2.1686693100227855e-05
12233.704077310329,-40798.44006405657,-0.006249680639994578,-0.001335544460150453,0.01561977232858866,7.111873842189562e-05,4.036105910554873e-05,2.825328915677554e-05
16760.64816848004,-40798.44006405657,-0.013870080315304054,-0.0008015673276036241,0.004756217345879457,0.0001116486247631501,4.131496342693919e-05,3.297919116619524e-05
21287.592259649762,-40798.44006405657,-0.0031330849330983967,-0.00029351756172301866,0.0011439403616504565,2.9001250557563022e-05,4.1542483986621454e-05,8.58557848513062e-06
25814.536350819486,-40798.44006405657,0.013461925212417201,-2.0922877810270477e-05,0.00014520565902188115,1.8811443329633454e-05,4.158501692912116e-05,6.24309345002139e-06
30341.480441989203,-40798.44006405657,0.02815783457621884,0.0001305879452780283,-0.0034347016834188754,1.5482677497568367e-05,4.16018460397327e-05,5.938628049365671e-06
