121.085161481	22.7863881435	5167
120.938564873	22.4585895257	7339
120.235158616	22.7938509435	5391
120.392025431	22.6356596916	1494
120.433387016	22.5860807276	856
120.326578353	22.6055407051	1678
120.308412024	22.7181023231	7349
121.088967836	23.1412311826	7074
120.372430933	22.6260430268	6547
120.220433256	22.9873030059	1554
120.320987533	22.6918525208	3934
120.28579696	23.3097698441	2135
120.282328044	22.6208914026	6683
120.223202339	23.0461047628	5810
120.183021593	22.9088171574	1636
120.407242932	22.4859688707	944
120.155378938	23.1856213825	92
120.350874279	22.5463626686	1440
120.634134313	22.9985696899	7489
120.816231272	22.5655640475	3844
120.205038606	22.8100440431	6263
120.349269685	22.7494445196	4053
120.248972794	22.7817880515	1099
120.228452906	22.9602171222	8542
120.182606036	22.9079821076	6670
120.411388214	22.5034883517	8209
120.309813624	22.644711358	322
120.367810936	22.6452192373	3718
120.295660871	22.6288396172	2709
120.354972455	22.5884872297	6006
120.336736584	22.5250732008	1155
120.557673412	22.5986643009	1659
120.419667025	22.5506203894	460
120.323995334	22.647237577	2594
120.318489744	22.6885122405	4270
120.385961076	22.5038751748	3386
120.225849807	22.9952383468	5439
120.342300101	22.6777086254	20
120.33192559	22.6459995084	1849
120.256635131	23.2338209673	1321
120.270095651	22.6788316862	3802
120.328590705	22.6443260635	6171
120.204329718	23.2070148042	202
120.511755678	22.6603665727	196
120.25296378	23.0261555638	406
120.477953855	22.6607635141	2137
120.507655857	22.5373449104	4059
120.388045222	22.5038778009	3847
120.483739188	22.7345782749	2069
120.496299061	22.6845449587	8695
120.324897838	22.6117931226	157
120.227916922	23.0044168461	5437
120.287198866	22.6826180084	6437
120.337346858	22.6476761861	147
120.214861745	23.0356605343	6301
120.33858082	23.1113804028	3261
120.963766601	22.5331787931	8150
120.419972398	22.6415299318	5303
120.340963623	22.7244114292	2085
120.247356305	22.9268996704	2174
120.483622701	22.8846997949	3700
120.206475233	23.0418952216	5841
120.351647993	22.5813930917	441
120.209966636	22.9906141628	7097
120.335951399	22.725654563	5985
120.290450731	22.7226567492	6258
120.30357648	22.6342750833	1303
120.577676782	22.8025852774	2249
120.484228855	23.1795140851	237
120.193938525	23.0360265232	2011
120.23494692	23.0357068857	751
120.298551385	22.643023241	1387
120.230866298	22.9965007669	425
120.391155559	22.6602622996	7594
120.32270513	23.3048334103	2111
120.534336826	22.5440286521	4858
121.09756204	22.7513215498	4750
120.269344709	22.8218623614	4476
120.111409161	23.1813240892	615
120.234528677	22.8755811461	6931
120.294336969	22.6626149567	5455
120.310228341	22.6459631122	3899
120.27904393	22.9657452807	6693
120.292307986	22.6359226033	3458
120.446447004	22.4597361925	3092
120.3199726	23.2043369591	6481
120.354922883	22.6176780823	5924
120.287135621	22.7113913513	2010
120.294207791	23.2985276133	3510
120.296613731	22.5729617626	5976
120.275594392	22.6467329485	4127
120.185636876	23.0134882566	6351
120.298203136	22.8073227877	4572
120.921498539	23.3263934353	3154
120.391785393	22.5118058044	436
120.31569983	22.6222029568	3376
120.351130883	22.6393570971	2640
120.255887976	22.8576965758	4855
120.237969101	22.9998526266	2450
120.279600782	23.0879242278	7630
120.443492393	22.4955973629	1481
120.293990276	22.6296705639	4857
120.343721613	22.58263218	1800
120.302738576	22.635941626	1480
120.338080095	22.7031395497	3967
120.222134649	22.9768822176	6988
120.214997767	22.9864562571	5817
120.390794787	22.6210627264	1665
120.29777244	22.6167501635	5618
120.177974763	22.9188119558	7682
120.77557003	23.0268226488	5926
120.340004886	22.5621927304	4874
120.280295755	22.7826859237	4672
120.523827023	22.7237576667	5382
120.330771549	22.5938711708	2191
120.260056868	22.8618752474	8539
120.242268732	22.9544101284	1689
120.257061429	23.2309030263	1498
120.212923684	22.9801964926	4116
120.178888471	23.1690054113	7247
120.246302673	23.1775065609	6024
120.536418689	22.551535691	2807
120.355459139	22.7928221941	823
120.356081193	22.6727252345	3495
120.274296073	23.0291184809	1625
120.516805476	22.5807191782	7578
120.215054142	22.9660238825	4351
120.247485423	23.0415723567	7812
120.482788696	22.8821972314	7600
120.523756138	22.8705435383	7141
120.463822657	22.5982009667	2684
120.234931622	23.0415446741	1039
120.279757519	23.0195385264	5146
120.263083069	22.9940685859	1029
120.483262337	22.8108901216	7904
120.384618102	22.566426067	1706
120.534191729	22.9022396012	3350
120.461369123	22.5452379134	8069
120.352552088	22.5405269263	4218
120.264944715	22.7392871038	769
120.243781057	23.0173789826	6510
120.285932976	22.6888707182	5670
120.805006827	22.5880982603	590
120.156272291	23.0380126648	3966
120.395781636	22.6348302598	457
120.232699504	23.0944968339	41
120.313421697	22.7181110657	6059
120.352387566	22.8778858678	5735
120.307280239	22.6593022455	814
120.263815432	23.0374369937	8242
120.362112912	22.5580554298	7613
120.225485202	22.9752219964	2282
120.335664759	22.6547627012	8721
120.526765381	22.6891470133	1128
120.64459118	22.9948134763	5319
120.243177131	22.7613424842	616
120.31935807	22.6714163657	7211
120.394854612	22.7002998055	8089
120.35567094	22.6685545375	4797
120.205780083	22.9918550325	393
120.578502433	22.9193459697	7972
120.239227327	22.9986044494	5014
120.172661248	23.1510589444	6672
120.431184249	22.6882467013	1174
120.353009579	22.5167576301	8292
120.54017236	22.5490347877	5456
120.328717543	22.7973676615	7418
120.266934148	22.957798218	7183
120.274563337	22.7326343103	5807
120.347804692	22.6326799261	210
120.312793795	22.8223608689	1998
120.954939559	22.6641401696	5637
120.212910953	22.9847833475	376
120.464765251	22.4781004155	312
120.517630668	22.5978172157	4155
120.314319484	23.3048188909	5700
120.522200117	22.6361845695	4137
120.289402841	22.6288280122	6247
120.270279773	22.9578049968	8372
120.332381718	22.6251496904	461
120.223234658	23.1882959821	3216
120.326771266	22.7231376743	3208
120.496633476	22.8067284677	1927
120.301041769	22.6492828944	4058
120.587707952	22.4689745369	894
120.254959429	22.7246713418	7782
120.231628052	23.0248577232	3193
120.917872819	22.5191003275	8243
120.280565944	22.6625889531	8187
120.571383978	22.9989917393	3667
120.365970146	23.2577826957	1161
120.328180569	22.640572299	2120
120.114627577	23.2188615385	2048
120.237704248	22.940639315	4202
120.365238137	22.6877506853	1054
120.212333668	23.0419093183	2194
120.361223183	22.5918323658	3136
120.117008449	23.1375584611	3817
120.358802156	22.7919930676	4651
120.25176176	23.1720976334	306
120.495139642	22.5494315525	5617
120.864897341	22.9207764746	3103
120.253257203	22.9077305588	716
120.201074756	23.0281214833	3177
120.25096445	22.9890392317	535
120.177335395	22.9917834991	3306
120.176967803	22.9751030114	6487
120.410914957	22.5472747465	1058
120.332866402	23.2535621964	8057
120.262677066	22.8147598101	8751
120.455151233	22.5077011245	8691
120.352792667	22.6435296758	3954
120.2763967	22.660912814	2014
120.275986253	22.8406405607	5843
120.489644716	22.6520140004	8072
121.071321323	22.7701676457	2716
120.176964001	22.9763539674	4729
120.202529761	22.8108719613	1913
120.270328329	23.1145927775	1775
120.455366548	22.7149574908	5627
120.528017737	22.688730492	6077
120.214153525	22.8375876541	329
120.351682406	22.5613764329	6113
120.367786105	22.660648606	5527
120.287290343	22.6409173276	2881
120.216518267	23.0419192545	4668
120.482366774	22.8872009523	5006
120.163129268	23.1193429511	1216
120.487538516	22.6787014358	6099
120.223778466	22.9877277619	7879
120.346124055	22.6393495606	5147
120.307807808	22.809008083	1857
120.463598405	22.8425679962	7677
120.431733472	22.5731516174	5447
120.202505801	23.2582983765	7481
120.36240381	22.6347863659	7424
120.356741083	22.5288565833	6143
120.526782199	22.6524499632	4793
120.226223422	23.0119187609	8194
120.331586286	22.6042978064	3761
120.165016468	23.0517968891	388
120.103961033	23.1558657578	499
120.209495741	23.0093775164	4673
120.480366698	22.7750257024	1271
120.69472607	22.911805879	5292
120.349601739	22.5588712435	2888
120.92404562	23.0011425474	7527
120.2993102	22.8761297261	4608
120.324012196	22.6384803854	4170
120.193240687	22.9884882197	451
120.468819997	22.607379147	5009
120.204983656	22.9776754673	905
120.943329458	22.5298888479	4624
120.31273044	23.2622844771	3863
120.350868531	22.5496987879	2388
120.185645575	23.0105693693	5047
120.122203043	23.2092938562	4001
120.291980616	22.5942208868	3598
120.418835657	22.548534421	5400
120.324523875	22.5892738206	3723
120.351693868	22.5547042022	1027
120.220003605	22.9914718976	1986
120.541845869	22.5327715631	3016
120.354075025	22.6256000706	5884
120.194086998	22.985154427	2381
120.316558103	22.6101110837	7637
120.314011852	22.8398770007	7169
120.339122576	22.5888802711	8237
120.267929504	23.0670515432	3020
120.313851438	23.1246825974	4315
120.323792183	22.5358947396	7036
120.349993471	22.5734673544	6210
120.305131762	22.6893230422	2908
120.325633228	22.6635036705	3852
120.593552103	22.8567962204	7388
120.280300958	22.5946158008	4205
120.204814436	23.0373043367	3389
120.248098841	23.1299745593	2760
120.225822608	23.1607813182	3033
120.234341065	23.1070100616	3834
120.268011805	23.0324417283	5722
120.317458325	22.7877577605	6331
120.568515725	22.6161807669	1594
120.545176639	22.5469511676	1300
120.263513589	22.8143445259	6058
120.370490991	22.5338801281	5015
120.329836172	22.6476641728	6361
120.154771469	23.1143163501	3887
120.206405537	23.0664972019	8394
120.542245277	22.5836478698	4734
120.339431647	22.6485134794	2867
120.227360397	22.8993336802	6268
120.362960542	22.5497163101	2904
120.242076117	23.1920915737	4663
120.420858407	22.5994125038	6652
120.494882412	22.9218198966	3037
120.266317598	22.8652240844	3769
120.834350479	22.9062315205	7196
120.359946959	22.6068430295	2864
120.289903945	22.7818702785	869
120.308262012	22.9937383801	4894
120.897999953	22.5808576648	8401
120.357167453	22.7707234862	3330
120.244009329	22.9277263996	55
120.156021466	23.2460845676	5442
120.216503253	22.8951385951	2227
120.191430334	23.035186252	684
120.225747015	23.1887187953	5021
120.39250696	22.5906228351	8569
120.4862541	22.7216526568	4971
120.220333316	23.0239977689	7918
120.48153344	22.8838643825	2436
120.258031371	23.1775317254	392
120.496264433	22.7354201282	288
120.830217304	22.4541999704	2943
120.36159836	23.1172532089	6957
120.462946291	22.6440718204	4299
120.357140565	22.7865696041	7083
120.65304765	23.1878766912	6673
120.555552341	22.7408650155	3764
120.296868397	23.0395866384	873
120.515055321	22.7316769662	1311
120.368569158	22.6927594351	2900
120.232690437	22.7792504183	2754
120.234360828	23.0995043956	1542
120.201668689	23.1127708087	8502
120.382946921	22.5685090014	456
120.185752341	22.9747086666	3432
120.507993017	22.6720410307	1411
120.211972007	23.1711731899	7100
120.79902083	23.039303151	8116
120.338015963	22.738168015	4987
120.236654165	23.1829059438	8512
120.333347734	23.2210385811	2326
120.230119121	22.962722859	8269
120.317642616	22.694765918	5341
120.444095825	22.7141135882	2733
120.295841027	23.1271519452	4566
120.479998449	22.7133082914	5990
120.144083782	23.1810030497	1021
120.585196297	22.7942455706	8671
120.215687107	23.0398323568	8493
120.497994147	22.6461808295	5498
120.850434967	22.5700994354	7030
120.272877387	22.9198637849	6238
120.118832241	23.2147044567	797
120.182725805	23.0076429762	3411
120.37137534	22.5017709484	2012
120.315995391	22.6835038941	6237
120.287786883	22.6046383446	4676
120.323989712	22.6501566388	3982
121.092033233	22.7238171934	708
120.275061958	22.6971898313	2574
120.501706236	22.7137387573	1358
120.382898926	22.6006190741	7783
120.319180083	22.7619064768	1823
120.336963965	22.6289100873	7786
120.348004454	23.2260655892	5567
120.776198715	23.1794395136	8349
120.301137889	22.8023241144	198
120.546340047	22.8234300107	3892
120.36968958	23.2898952905	2593
120.308322331	22.7618876927	408
120.161751358	23.157701335	8474
120.336966254	22.6276590564	5713
120.393585101	22.7123915018	2110
120.536724038	22.8405242354	4778
120.879213225	22.5717182855	6383
120.304883565	22.80900288	7573
120.151313549	23.1476651377	330
120.484581912	22.7245706259	4798
120.20439955	23.0360523667	2818
120.30068406	22.8194203383	5878
120.191081543	22.8688062033	1638
120.835660997	22.9375042282	5561
120.480623498	22.4505884766	8453
120.556352837	22.8818128099	1845
120.454825683	23.2595522386	6587
120.318735888	23.194327283	1274
120.200774808	23.1323667508	3008
120.290677015	22.6184051297	443
120.150810478	23.1735163706	6367
120.88302912	22.6013192753	3462
120.463794889	22.628643	6984
120.127962528	23.2401669325	3238
120.599808084	22.6816529967	1627
120.251050759	22.9544291353	409
120.421159333	22.6944915895	7468
120.222438904	23.018998819	8723
120.276595888	23.2997443315	5677
120.308944592	22.8657220864	8438
